face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.35,0.35,0.58,0.58,1.0,1.0,0.16199999999999998,0.16199999999999998,0.51,0.51,0.34,0.38,0.0,0.0,1.0,0.24,0.98,0.64,0.28,0.98,0.98,0.28,0.28,0.54,0.48,0.52,0.51,0.02,0.54,-0.106,0.019,-0.068
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.52,0.52,0.36,0.37,0.0,0.0,1.0,0.27,0.98,0.67,0.26,0.98,0.98,0.26,0.26,0.49,0.56,0.48,0.59,0.03,0.56,-0.106,0.011,-0.057
0.45,0.45,0.83,0.83,1.0,1.0,0.16199999999999998,0.16199999999999998,0.52,0.52,0.35,0.37,0.0,0.0,1.0,0.26,0.985,0.66,0.27,0.98,0.99,0.27,0.27,0.52,0.5,0.5,0.54,0.03,0.56,-0.14,0.007,-0.038
0.37,0.37,0.63,0.63,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.34,0.38,0.0,0.0,1.0,0.25,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.55,0.46,0.53,0.5,0.03,0.55,-0.104,0.011,-0.037
0.38,0.38,0.65,0.65,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.36,0.36,0.0,0.0,1.0,0.25,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.55,0.45,0.54,0.48,0.03,0.55,-0.087,0.017,-0.029
0.56,0.56,1.0,1.0,0.97,0.97,0.7956492710113525,0.7837407994270325,0.23,0.23,0.4,0.33,0.0,0.0,1.0,0.27,0.945,0.66,0.32,0.94,0.95,0.32,0.32,0.55,0.45,0.55,0.45,0.03,0.53,-0.069,0.034,0.001
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.42,0.42,0.47,0.25,0.0,0.0,1.0,0.27,0.95,0.67,0.31,0.95,0.95,0.31,0.31,0.53,0.49,0.53,0.5,0.03,0.51,-0.049,0.047,0.056
0.39,0.39,0.67,0.67,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.48,0.25,0.0,0.0,1.0,0.26,0.96,0.66,0.3,0.96,0.96,0.3,0.3,0.53,0.5,0.52,0.51,0.02,0.49,-0.035,0.051,0.09
0.37,0.37,0.64,0.64,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.45,0.27,0.0,0.0,1.0,0.25,0.97,0.65,0.29,0.97,0.97,0.29,0.29,0.55,0.46,0.54,0.47,0.02,0.49,-0.015,0.052,0.084
0.57,0.57,1.0,1.0,0.96,0.96,0.9495342183113098,0.9494157838821411,0.3,0.3,0.38,0.34,0.10499999999999993,0.10499999999999993,0.75,0.29,0.92,0.68,0.33,0.92,0.92,0.33,0.33,0.62,0.42,0.62,0.42,0.02,0.49,0.015,0.041,0.054
