face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.45,0.45,0.81,0.81,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.34,0.38,0.04499999999999987,0.02999999999999986,1.0,0.23,0.98,0.64,0.28,0.98,0.98,0.28,0.28,0.58,0.44,0.57,0.44,0.03,0.55,-0.166,0.008,-0.059
0.37,0.37,0.62,0.62,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.36,0.37,0.10499999999999993,0.11999999999999994,1.0,0.27,0.94,0.66,0.28,0.95,0.93,0.28,0.28,0.62,0.42,0.63,0.41,0.04,0.4,0.02,0.041,-0.034
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.55,0.55,0.36,0.37,0.0,0.0,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.51,0.53,0.5,0.54,0.01,0.52,-0.156,0.009,-0.031
0.47,0.47,0.87,0.87,1.0,1.0,0.16199999999999998,0.16199999999999998,0.52,0.52,0.35,0.37,0.0,0.0,1.0,0.23,0.99,0.64,0.26,0.99,0.99,0.26,0.26,0.55,0.46,0.55,0.46,0.02,0.53,-0.112,0.016,-0.039
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.34,0.38,0.0,0.0,1.0,0.23,0.99,0.64,0.27,0.99,0.99,0.27,0.27,0.55,0.45,0.55,0.46,0.02,0.54,-0.055,0.029,-0.043
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.37,0.37,0.36,0.36,0.04499999999999987,0.04499999999999987,1.0,0.25,0.97,0.65,0.28,0.97,0.97,0.28,0.28,0.58,0.44,0.58,0.44,0.03,0.55,0.021,0.023,-0.029
0.53,0.53,1.0,1.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.36,0.36,0.04499999999999987,0.04499999999999987,1.0,0.24,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.58,0.43,0.58,0.44,0.02,0.57,0.069,0.018,-0.021
0.53,0.53,1.0,1.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.36,0.36,0.05999999999999989,0.04499999999999987,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.59,0.43,0.58,0.44,0.02,0.58,0.147,0.014,-0.021
0.53,0.53,1.0,1.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.28,0.28,0.36,0.36,0.0749999999999999,0.04499999999999987,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.6,0.43,0.58,0.44,0.02,0.58,0.219,0.013,-0.019
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.26,0.26,0.36,0.36,0.0749999999999999,0.05999999999999989,1.0,0.24,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.6,0.43,0.59,0.43,0.02,0.58,0.264,0.012,-0.021
