start livelink
[-0.286, -0.011, -0.072]
[-0.282, -0.011, -0.072]
[-0.281, -0.01, -0.073]
[-0.282, -0.009, -0.074]
[-0.278, -0.008, -0.077]
[-0.276, -0.007, -0.079]
[-0.271, -0.005, -0.079]
[-0.263, -0.002, -0.08]
[-0.256, 0.001, -0.08]
[-0.25, 0.003, -0.081]
[-0.245, 0.005, -0.082]
[-0.239, 0.008, -0.084]
[-0.231, 0.012, -0.086]
[-0.222, 0.016, -0.089]
[-0.216, 0.02, -0.09]
[-0.209, 0.024, -0.09]
[-0.209, 0.027, -0.089]
[-0.206, 0.029, -0.087]
[-0.203, 0.03, -0.084]
[-0.203, 0.03, -0.082]
[-0.198, 0.029, -0.08]
[-0.194, 0.029, -0.078]
[-0.186, 0.028, -0.076]
[-0.178, 0.027, -0.074]
[-0.17, 0.025, -0.072]
[-0.162, 0.023, -0.069]
[-0.155, 0.02, -0.065]
[-0.142, 0.014, -0.06]
[-0.142, 0.014, -0.06]
[-0.136, 0.011, -0.059]
[-0.133, 0.009, -0.057]
[-0.132, 0.007, -0.053]
[-0.138, 0.007, -0.048]
[-0.144, 0.009, -0.04]
[-0.144, 0.009, -0.04]
[-0.148, 0.011, -0.04]
[-0.15, 0.013, -0.041]
[-0.146, 0.015, -0.043]
[-0.146, 0.015, -0.043]
[-0.138, 0.016, -0.043]
[-0.126, 0.016, -0.042]
[-0.116, 0.015, -0.04]
[-0.108, 0.014, -0.038]
[-0.103, 0.013, -0.035]
[-0.099, 0.011, -0.033]
[-0.08, 0.009, -0.027]
[-0.08, 0.009, -0.027]
[-0.067, 0.009, -0.024]
[-0.056, 0.009, -0.021]
[-0.047, 0.009, -0.018]
[-0.042, 0.009, -0.016]
[-0.031, 0.012, -0.014]
[-0.031, 0.012, -0.014]
[-0.032, 0.014, -0.017]
[-0.033, 0.015, -0.02]
[-0.035, 0.016, -0.023]
[-0.037, 0.017, -0.026]
[-0.036, 0.018, -0.03]
[-0.036, 0.019, -0.033]
[-0.037, 0.02, -0.038]
[-0.038, 0.021, -0.044]
[-0.039, 0.021, -0.049]
[-0.04, 0.022, -0.053]
[-0.042, 0.022, -0.056]
[-0.047, 0.023, -0.057]
[-0.054, 0.023, -0.057]
[-0.059, 0.023, -0.058]
[-0.062, 0.023, -0.059]
[-0.064, 0.023, -0.059]
[-0.068, 0.023, -0.058]
[-0.068, 0.023, -0.058]
[-0.071, 0.023, -0.058]
[-0.071, 0.023, -0.058]
[-0.069, 0.023, -0.059]
[-0.069, 0.023, -0.059]
[-0.068, 0.023, -0.059]
[-0.068, 0.023, -0.06]
[-0.07, 0.023, -0.062]
[-0.07, 0.023, -0.062]
[-0.071, 0.023, -0.064]
[-0.072, 0.024, -0.064]
[-0.069, 0.024, -0.063]
[-0.069, 0.024, -0.063]
[-0.066, 0.023, -0.061]
[-0.063, 0.022, -0.059]
[-0.06, 0.021, -0.057]
[-0.059, 0.021, -0.053]
[-0.059, 0.021, -0.049]
[-0.061, 0.021, -0.045]
[-0.063, 0.021, -0.042]
[-0.064, 0.021, -0.039]
[-0.064, 0.022, -0.03]
[-0.064, 0.022, -0.03]
[-0.062, 0.022, -0.025]
[-0.062, 0.022, -0.021]
[-0.063, 0.023, -0.015]
[-0.06, 0.026, -0.008]
[-0.057, 0.028, 0.001]
[-0.05, 0.029, 0.008]
[-0.046, 0.03, 0.014]
[-0.044, 0.03, 0.019]
[-0.04, 0.031, 0.027]
[-0.04, 0.031, 0.027]
[-0.04, 0.032, 0.03]
[-0.038, 0.031, 0.034]
[-0.034, 0.031, 0.037]
[-0.031, 0.031, 0.038]
[-0.029, 0.031, 0.04]
[-0.028, 0.032, 0.041]
[-0.027, 0.032, 0.042]
[-0.026, 0.033, 0.043]
[-0.024, 0.033, 0.043]
[-0.023, 0.034, 0.043]
[-0.023, 0.035, 0.042]
[-0.023, 0.035, 0.042]
[-0.022, 0.035, 0.043]
[-0.023, 0.036, 0.044]
[-0.024, 0.037, 0.045]
[-0.024, 0.037, 0.046]
[-0.024, 0.039, 0.047]
[-0.022, 0.04, 0.048]
[-0.017, 0.04, 0.048]
[-0.014, 0.041, 0.045]
[-0.015, 0.041, 0.032]
[-0.015, 0.041, 0.032]
[-0.016, 0.041, 0.023]
[-0.014, 0.041, 0.014]
[-0.01, 0.041, 0.006]
[-0.011, 0.04, -0.001]
[-0.014, 0.039, -0.007]
[-0.017, 0.038, -0.012]
[-0.026, 0.037, -0.021]
[-0.026, 0.037, -0.021]
[-0.027, 0.035, -0.024]
[-0.029, 0.034, -0.028]
[-0.03, 0.031, -0.031]
[-0.03, 0.031, -0.031]
[-0.032, 0.03, -0.033]
[-0.033, 0.029, -0.034]
[-0.035, 0.028, -0.036]
[-0.038, 0.026, -0.039]
[-0.041, 0.024, -0.04]
[-0.042, 0.023, -0.041]
[-0.042, 0.021, -0.041]
[-0.04, 0.02, -0.04]
[-0.035, 0.018, -0.04]
[-0.029, 0.018, -0.039]
[-0.025, 0.017, -0.039]
[-0.021, 0.016, -0.04]
[-0.02, 0.015, -0.041]
[-0.021, 0.014, -0.041]
[-0.022, 0.014, -0.041]
[-0.024, 0.013, -0.04]
[-0.024, 0.014, -0.04]
[-0.025, 0.014, -0.039]
[-0.025, 0.014, -0.038]
[-0.026, 0.014, -0.038]
[-0.027, 0.014, -0.038]
[-0.027, 0.014, -0.038]
[-0.029, 0.013, -0.038]
[-0.029, 0.013, -0.037]
[-0.03, 0.013, -0.036]
[-0.029, 0.013, -0.035]
[-0.028, 0.013, -0.034]
[-0.026, 0.013, -0.033]
[-0.026, 0.013, -0.032]
[-0.025, 0.013, -0.03]
[-0.023, 0.014, -0.029]
[-0.02, 0.015, -0.027]
[-0.017, 0.016, -0.025]
[-0.015, 0.016, -0.023]
[-0.015, 0.017, -0.02]
[-0.015, 0.017, -0.02]
[-0.016, 0.017, -0.018]
[-0.015, 0.017, -0.017]
[-0.016, 0.018, -0.013]
[-0.014, 0.019, -0.011]
[-0.014, 0.019, -0.011]
[-0.014, 0.019, -0.009]
[-0.016, 0.02, -0.007]
[-0.02, 0.02, -0.004]
[-0.026, 0.021, -0.0]
[-0.032, 0.021, 0.004]
[-0.037, 0.021, 0.009]
[-0.042, 0.022, 0.013]
[-0.046, 0.023, 0.017]
[-0.049, 0.024, 0.021]
[-0.051, 0.025, 0.024]
[-0.052, 0.026, 0.027]
[-0.052, 0.026, 0.029]
[-0.051, 0.027, 0.032]
[-0.051, 0.029, 0.035]
[-0.051, 0.03, 0.037]
[-0.051, 0.031, 0.04]
[-0.05, 0.033, 0.043]
[-0.05, 0.034, 0.045]
[-0.047, 0.035, 0.047]
[-0.045, 0.037, 0.048]
[-0.045, 0.038, 0.05]
[-0.045, 0.039, 0.052]
[-0.049, 0.041, 0.053]
[-0.053, 0.042, 0.054]
[-0.058, 0.043, 0.054]
[-0.061, 0.043, 0.053]
[-0.061, 0.043, 0.051]
[-0.063, 0.043, 0.049]
[-0.065, 0.043, 0.045]
[-0.071, 0.043, 0.041]
[-0.077, 0.042, 0.037]
[-0.082, 0.042, 0.033]
[-0.088, 0.042, 0.027]
[-0.09, 0.042, 0.021]
[-0.093, 0.042, 0.014]
[-0.095, 0.042, 0.009]
[-0.093, 0.042, 0.004]
[-0.096, 0.041, -0.001]
[-0.098, 0.041, -0.006]
[-0.099, 0.041, -0.011]
[-0.1, 0.042, -0.015]
[-0.102, 0.042, -0.019]
[-0.106, 0.042, -0.023]
[-0.11, 0.042, -0.026]
[-0.115, 0.041, -0.029]
[-0.118, 0.041, -0.033]
[-0.122, 0.04, -0.036]
[-0.126, 0.04, -0.039]
[-0.129, 0.04, -0.042]
[-0.133, 0.039, -0.045]
[-0.135, 0.039, -0.047]
[-0.135, 0.039, -0.049]
[-0.136, 0.039, -0.051]
[-0.135, 0.039, -0.053]
[-0.134, 0.038, -0.057]
[-0.134, 0.038, -0.057]
[-0.134, 0.038, -0.058]
[-0.136, 0.038, -0.058]
[-0.14, 0.038, -0.058]
[-0.145, 0.038, -0.058]
[-0.149, 0.039, -0.059]
[-0.154, 0.04, -0.06]
[-0.155, 0.04, -0.06]
[-0.156, 0.04, -0.06]
[-0.155, 0.04, -0.06]
[-0.153, 0.04, -0.06]
[-0.151, 0.04, -0.059]
[-0.149, 0.04, -0.058]
[-0.148, 0.04, -0.056]
[-0.147, 0.04, -0.054]
[-0.145, 0.039, -0.052]
[-0.142, 0.039, -0.048]
[-0.14, 0.039, -0.044]
[-0.139, 0.039, -0.04]
[-0.138, 0.038, -0.035]
[-0.137, 0.038, -0.03]
[-0.138, 0.038, -0.024]
[-0.139, 0.038, -0.014]
[-0.139, 0.038, -0.014]
[-0.139, 0.039, -0.009]
[-0.136, 0.04, -0.006]
[-0.133, 0.042, -0.002]
[-0.132, 0.043, 0.001]
[-0.131, 0.044, 0.004]
[-0.132, 0.045, 0.006]
[-0.13, 0.046, 0.009]
[-0.127, 0.046, 0.011]
[-0.124, 0.047, 0.013]
[-0.12, 0.048, 0.016]
[-0.121, 0.049, 0.018]
[-0.121, 0.05, 0.021]
[-0.12, 0.051, 0.024]
[-0.12, 0.052, 0.027]
[-0.119, 0.053, 0.029]
[-0.119, 0.053, 0.031]
[-0.119, 0.054, 0.032]
[-0.119, 0.054, 0.034]
[-0.12, 0.055, 0.037]
[-0.121, 0.055, 0.04]
[-0.122, 0.055, 0.043]
[-0.121, 0.055, 0.046]
[-0.121, 0.055, 0.05]
[-0.12, 0.056, 0.053]
[-0.12, 0.056, 0.056]
[-0.121, 0.056, 0.06]
[-0.121, 0.057, 0.062]
[-0.122, 0.057, 0.063]
[-0.122, 0.058, 0.064]
[-0.121, 0.058, 0.064]
[-0.122, 0.059, 0.064]
[-0.122, 0.06, 0.064]
[-0.122, 0.06, 0.064]
[-0.122, 0.061, 0.063]
[-0.121, 0.061, 0.062]
[-0.12, 0.061, 0.061]
[-0.12, 0.061, 0.06]
[-0.12, 0.061, 0.059]
[-0.119, 0.061, 0.058]
[-0.117, 0.061, 0.056]
[-0.113, 0.061, 0.054]
[-0.108, 0.061, 0.052]
[-0.103, 0.06, 0.051]
[-0.1, 0.06, 0.049]
[-0.097, 0.059, 0.047]
[-0.097, 0.058, 0.045]
[-0.097, 0.057, 0.044]
[-0.096, 0.056, 0.044]
[-0.097, 0.054, 0.044]
[-0.099, 0.053, 0.045]
[-0.104, 0.052, 0.046]
[-0.109, 0.051, 0.046]
[-0.115, 0.051, 0.047]
[-0.118, 0.05, 0.046]
[-0.119, 0.049, 0.045]
[-0.119, 0.049, 0.043]
[-0.12, 0.048, 0.04]
[-0.121, 0.047, 0.038]
[-0.121, 0.046, 0.035]
[-0.119, 0.045, 0.03]
[-0.119, 0.044, 0.025]
[-0.12, 0.043, 0.019]
[-0.122, 0.041, 0.013]
[-0.123, 0.04, 0.009]
[-0.123, 0.039, 0.006]
[-0.126, 0.039, 0.002]
[-0.129, 0.038, -0.001]
[-0.133, 0.037, -0.007]
[-0.139, 0.037, -0.012]
[-0.141, 0.036, -0.016]
[-0.142, 0.035, -0.02]
[-0.145, 0.034, -0.022]
[-0.145, 0.033, -0.024]
[-0.145, 0.032, -0.025]
[-0.147, 0.031, -0.026]
[-0.147, 0.03, -0.025]
[-0.148, 0.029, -0.025]
[-0.15, 0.028, -0.026]
[-0.152, 0.027, -0.026]
[-0.152, 0.026, -0.027]
[-0.151, 0.025, -0.028]
[-0.149, 0.024, -0.029]
[-0.148, 0.023, -0.029]
[-0.148, 0.022, -0.029]
[-0.148, 0.021, -0.029]
[-0.148, 0.02, -0.031]
[-0.148, 0.02, -0.033]
[-0.149, 0.019, -0.035]
[-0.149, 0.018, -0.037]
[-0.149, 0.018, -0.039]
[-0.148, 0.017, -0.04]
[-0.146, 0.017, -0.042]
[-0.144, 0.017, -0.043]
[-0.142, 0.017, -0.044]
[-0.143, 0.017, -0.045]
[-0.143, 0.017, -0.045]
[-0.144, 0.017, -0.045]
[-0.146, 0.016, -0.044]
[-0.145, 0.016, -0.043]
[-0.143, 0.016, -0.042]
[-0.142, 0.017, -0.042]
[-0.14, 0.018, -0.041]
[-0.138, 0.019, -0.041]
[-0.139, 0.02, -0.04]
[-0.139, 0.02, -0.04]
[-0.14, 0.021, -0.039]
[-0.142, 0.022, -0.039]
[-0.144, 0.023, -0.039]
[-0.144, 0.025, -0.038]
[-0.144, 0.026, -0.037]
[-0.143, 0.028, -0.036]
[-0.145, 0.029, -0.036]
[-0.149, 0.03, -0.036]
[-0.151, 0.032, -0.035]
[-0.154, 0.035, -0.036]
[-0.154, 0.035, -0.036]
[-0.157, 0.036, -0.04]
[-0.162, 0.038, -0.043]
[-0.164, 0.039, -0.048]
[-0.164, 0.041, -0.052]
[-0.162, 0.043, -0.056]
[-0.16, 0.044, -0.06]
[-0.157, 0.045, -0.065]
[-0.155, 0.046, -0.069]
[-0.152, 0.047, -0.074]
[-0.153, 0.048, -0.078]
[-0.155, 0.049, -0.082]
[-0.158, 0.049, -0.086]
[-0.16, 0.05, -0.091]
[-0.159, 0.051, -0.095]
[-0.156, 0.051, -0.1]
[-0.163, 0.053, -0.103]
[-0.165, 0.053, -0.106]
[-0.169, 0.054, -0.108]
[-0.17, 0.054, -0.11]
[-0.164, 0.054, -0.112]
[-0.158, 0.053, -0.114]
[-0.151, 0.052, -0.116]
[-0.145, 0.052, -0.118]
[-0.142, 0.051, -0.121]
[-0.141, 0.051, -0.123]
[-0.139, 0.051, -0.125]
[-0.138, 0.05, -0.126]
[-0.136, 0.05, -0.128]
[-0.134, 0.05, -0.129]
[-0.133, 0.051, -0.131]
[-0.131, 0.051, -0.133]
[-0.131, 0.052, -0.137]
[-0.129, 0.053, -0.142]
[-0.125, 0.054, -0.147]
[-0.112, 0.056, -0.155]
[-0.097, 0.059, -0.166]
[-0.088, 0.061, -0.176]
[-0.079, 0.065, -0.186]
[-0.072, 0.068, -0.195]
[-0.066, 0.07, -0.202]
[-0.06, 0.072, -0.209]
[-0.056, 0.073, -0.214]
[-0.053, 0.075, -0.218]
[-0.049, 0.076, -0.222]
[-0.048, 0.077, -0.225]
[-0.047, 0.077, -0.226]
[-0.047, 0.078, -0.227]
[-0.048, 0.078, -0.227]
[-0.048, 0.078, -0.224]
[-0.049, 0.077, -0.221]
[-0.049, 0.077, -0.217]
[-0.048, 0.077, -0.214]
[-0.049, 0.076, -0.212]
[-0.049, 0.076, -0.209]
[-0.049, 0.075, -0.208]
[-0.051, 0.073, -0.205]
[-0.053, 0.072, -0.201]
[-0.056, 0.07, -0.197]
[-0.059, 0.069, -0.192]
[-0.064, 0.067, -0.188]
[-0.068, 0.066, -0.183]
[-0.071, 0.065, -0.177]
[-0.076, 0.064, -0.17]
[-0.083, 0.062, -0.161]
[-0.089, 0.061, -0.151]
[-0.092, 0.061, -0.141]
[-0.093, 0.06, -0.132]
[-0.091, 0.06, -0.123]
[-0.091, 0.058, -0.113]
[-0.094, 0.056, -0.103]
[-0.097, 0.055, -0.095]
[-0.101, 0.054, -0.086]
[-0.101, 0.052, -0.074]
[-0.098, 0.05, -0.063]
[-0.092, 0.048, -0.053]
[-0.074, 0.044, -0.036]
[-0.074, 0.044, -0.036]
[-0.065, 0.043, -0.027]
[-0.054, 0.041, -0.018]
[-0.048, 0.039, -0.007]
[-0.044, 0.037, 0.002]
[-0.04, 0.036, 0.012]
[-0.041, 0.035, 0.021]
[-0.045, 0.035, 0.03]
[-0.048, 0.035, 0.041]
[-0.051, 0.035, 0.05]
[-0.052, 0.033, 0.06]
[-0.046, 0.031, 0.07]
[-0.039, 0.027, 0.078]
[-0.029, 0.024, 0.085]
[-0.021, 0.021, 0.09]
[-0.015, 0.018, 0.096]
[-0.011, 0.015, 0.1]
[-0.008, 0.012, 0.104]
[-0.007, 0.009, 0.108]
[-0.006, 0.006, 0.111]
[-0.003, 0.003, 0.114]
[-0.002, 0.0, 0.117]
[-0.001, -0.002, 0.118]
[-0.001, -0.005, 0.119]
[-0.001, -0.007, 0.12]
[-0.001, -0.009, 0.119]
[-0.0, -0.012, 0.118]
[0.001, -0.014, 0.116]
[0.003, -0.016, 0.115]
[0.003, -0.018, 0.113]
[0.004, -0.021, 0.113]
[0.004, -0.022, 0.113]
