start livelink
[-0.166, 0.008, -0.059]
[-0.161, 0.007, -0.057]
[-0.157, 0.007, -0.055]
[-0.154, 0.007, -0.052]
[-0.154, 0.007, -0.05]
[-0.134, 0.016, -0.039]
[0.02, 0.041, -0.034]
[-0.179, 0.011, -0.048]
[-0.177, 0.01, -0.043]
[-0.177, 0.01, -0.043]
[-0.175, 0.009, -0.04]
[-0.171, 0.009, -0.036]
[-0.156, 0.009, -0.031]
[-0.156, 0.009, -0.031]
[-0.149, 0.009, -0.03]
[-0.138, 0.01, -0.029]
[-0.131, 0.011, -0.031]
[-0.125, 0.013, -0.034]
[-0.118, 0.014, -0.037]
[-0.112, 0.016, -0.039]
[-0.104, 0.018, -0.04]
[-0.094, 0.021, -0.04]
[-0.085, 0.023, -0.039]
[-0.076, 0.024, -0.041]
[-0.067, 0.026, -0.041]
[-0.061, 0.027, -0.043]
[-0.055, 0.029, -0.043]
[-0.051, 0.03, -0.043]
[-0.044, 0.03, -0.041]
[-0.031, 0.028, -0.038]
[-0.014, 0.026, -0.034]
[0.0, 0.025, -0.032]
[0.011, 0.024, -0.03]
[0.021, 0.023, -0.029]
[0.028, 0.022, -0.028]
[0.037, 0.021, -0.027]
[0.044, 0.021, -0.025]
[0.051, 0.02, -0.023]
[0.059, 0.019, -0.022]
[0.069, 0.018, -0.021]
[0.078, 0.017, -0.021]
[0.089, 0.016, -0.021]
[0.1, 0.015, -0.02]
[0.114, 0.014, -0.02]
[0.125, 0.014, -0.02]
[0.136, 0.013, -0.021]
[0.147, 0.014, -0.021]
[0.155, 0.014, -0.021]
[0.166, 0.014, -0.021]
[0.177, 0.013, -0.021]
[0.188, 0.013, -0.021]
[0.2, 0.013, -0.02]
[0.21, 0.013, -0.02]
[0.219, 0.013, -0.019]
[0.227, 0.013, -0.019]
[0.234, 0.013, -0.02]
[0.241, 0.013, -0.021]
[0.248, 0.013, -0.022]
[0.256, 0.013, -0.022]
[0.264, 0.012, -0.021]
[0.269, 0.012, -0.021]
[0.274, 0.012, -0.021]
[0.276, 0.012, -0.021]
[0.282, 0.012, -0.022]
[0.282, 0.012, -0.022]
[0.283, 0.012, -0.022]
[0.284, 0.012, -0.021]
[0.28, 0.012, -0.021]
[0.28, 0.012, -0.021]
[0.279, 0.011, -0.021]
[0.278, 0.01, -0.019]
[0.276, 0.009, -0.018]
[0.274, 0.007, -0.017]
[0.271, 0.005, -0.018]
[0.267, 0.004, -0.02]
[0.264, 0.003, -0.023]
[0.264, 0.002, -0.026]
[0.264, 0.001, -0.03]
[0.265, -0.001, -0.036]
[0.265, -0.001, -0.042]
[0.264, -0.003, -0.049]
[0.264, -0.005, -0.055]
[0.265, -0.007, -0.061]
[0.265, -0.01, -0.068]
[0.264, -0.013, -0.074]
[0.262, -0.015, -0.08]
[0.261, -0.018, -0.086]
[0.261, -0.02, -0.092]
[0.262, -0.023, -0.098]
[0.261, -0.025, -0.102]
[0.26, -0.028, -0.106]
[0.259, -0.031, -0.108]
[0.256, -0.033, -0.111]
[0.255, -0.036, -0.113]
[0.252, -0.038, -0.115]
[0.248, -0.04, -0.117]
[0.244, -0.043, -0.12]
[0.238, -0.045, -0.123]
[0.234, -0.047, -0.126]
[0.229, -0.049, -0.129]
[0.224, -0.052, -0.132]
[0.22, -0.055, -0.135]
[0.216, -0.058, -0.139]
[0.212, -0.06, -0.144]
[0.208, -0.062, -0.151]
[0.205, -0.063, -0.159]
[0.201, -0.064, -0.166]
[0.195, -0.065, -0.172]
[0.189, -0.066, -0.177]
[0.181, -0.067, -0.182]
[0.175, -0.067, -0.184]
[0.172, -0.068, -0.187]
[0.169, -0.068, -0.188]
[0.166, -0.068, -0.189]
[0.162, -0.068, -0.19]
[0.157, -0.068, -0.191]
[0.152, -0.068, -0.192]
[0.149, -0.068, -0.192]
[0.146, -0.068, -0.191]
[0.143, -0.068, -0.189]
[0.141, -0.068, -0.186]
[0.139, -0.068, -0.184]
[0.138, -0.068, -0.18]
[0.136, -0.068, -0.175]
[0.135, -0.067, -0.17]
[0.133, -0.066, -0.166]
[0.128, -0.066, -0.162]
[0.124, -0.065, -0.157]
[0.119, -0.064, -0.152]
[0.119, -0.062, -0.146]
[0.122, -0.06, -0.137]
[0.125, -0.057, -0.127]
[0.125, -0.055, -0.116]
[0.125, -0.052, -0.105]
[0.122, -0.049, -0.095]
[0.12, -0.045, -0.084]
[0.121, -0.041, -0.073]
[0.123, -0.036, -0.061]
