face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.51,0.51,0.95,0.95,1.0,1.0,0.5154218482971191,0.5138426232337951,0.13,0.13,0.36,0.37,0.05999999999999989,0.05999999999999989,1.0,0.21,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.59,0.43,0.59,0.43,0.01,0.62,0.209,0.017,-0.03
0.47,0.47,0.85,0.85,1.0,1.0,0.16199999999999998,0.16199999999999998,0.28,0.28,0.36,0.36,0.13499999999999995,0.11999999999999994,1.0,0.24,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.63,0.41,0.03,0.58,0.206,0.02,-0.031
0.51,0.51,0.96,0.96,1.0,1.0,0.16199999999999998,0.16199999999999998,0.3,0.3,0.36,0.36,0.0749999999999999,0.05999999999999989,1.0,0.22,1.0,0.63,0.25,1.0,1.0,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.61,0.192,0.019,-0.026
0.51,0.51,0.96,0.96,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.36,0.36,0.0749999999999999,0.05999999999999989,1.0,0.22,1.0,0.62,0.25,1.0,1.0,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.6,0.172,0.02,-0.027
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.36,0.36,0.0749999999999999,0.05999999999999989,1.0,0.21,1.0,0.62,0.25,1.0,1.0,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.58,0.167,0.021,-0.024
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.49,0.23,0.0749999999999999,0.04499999999999987,1.0,0.21,0.995,0.62,0.25,0.99,1.0,0.25,0.25,0.6,0.43,0.58,0.44,0.01,0.57,0.168,0.021,-0.021
0.48,0.48,0.87,0.87,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.54,0.19,0.05999999999999989,0.02999999999999986,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.59,0.43,0.57,0.44,0.01,0.57,0.17,0.016,-0.032
0.49,0.49,0.9,0.9,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.52,0.2,0.04499999999999987,0.02999999999999986,1.0,0.21,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.57,0.44,0.01,0.58,0.165,0.014,-0.024
0.47,0.47,0.86,0.86,1.0,1.0,0.9361696052551269,0.9361591744422912,0.27,0.27,0.36,0.36,0.04499999999999987,0.0749999999999999,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.6,0.43,0.01,0.58,0.154,0.011,-0.025
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.35,0.37,0.05999999999999989,0.05999999999999989,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.59,0.43,0.59,0.43,0.01,0.58,0.161,0.013,-0.006
0.5,0.5,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.33,0.33,0.36,0.36,0.04499999999999987,0.05999999999999989,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.58,0.43,0.59,0.43,0.01,0.59,0.167,0.021,-0.001
0.5,0.5,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.33,0.33,0.37,0.35,0.04499999999999987,0.04499999999999987,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.58,0.44,0.01,0.59,0.19,0.035,0.018
0.47,0.47,0.85,0.85,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.45,0.27,0.04499999999999987,0.02999999999999986,1.0,0.22,0.99,0.63,0.28,0.99,0.99,0.28,0.28,0.58,0.44,0.57,0.44,0.01,0.55,0.209,0.058,0.058
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.3,0.3,0.46,0.26,0.0,0.0,0.75,0.33,0.855,0.71,0.5,0.86,0.85,0.5,0.5,0.32,0.89,0.33,0.87,0.03,0.5,0.24,0.072,0.1
0.58,0.58,1.0,1.0,0.96,0.96,0.9361556577682495,0.9361615586280823,0.22,0.22,0.42,0.31,0.0,0.0,0.75,0.38,0.745,0.75,0.49,0.75,0.74,0.49,0.49,0.35,0.85,0.37,0.79,0.03,0.47,0.255,0.072,0.113
0.58,0.58,1.0,1.0,0.96,0.96,0.2900607097148895,0.28936279892921446,0.23,0.23,0.35,0.38,0.0,0.0,0.75,0.4,0.74,0.76,0.56,0.74,0.74,0.56,0.56,0.36,0.83,0.38,0.78,0.04,0.55,0.264,0.063,0.089
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.3,0.3,0.24,0.48,0.0,0.0,0.75,0.39,0.765,0.75,0.56,0.76,0.77,0.56,0.56,0.36,0.81,0.38,0.77,0.05,0.83,0.253,0.04,0.003
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.31,0.31,0.21,0.51,0.0,0.0,0.75,0.38,0.76,0.75,0.56,0.75,0.77,0.56,0.56,0.34,0.85,0.36,0.82,0.05,0.99,0.244,0.023,-0.066
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.31,0.31,0.2,0.53,0.0,0.0,0.75,0.38,0.755,0.75,0.56,0.74,0.77,0.56,0.56,0.35,0.83,0.37,0.79,0.05,1.0,0.242,-0.0,-0.116
