face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.58,0.58,0.54,0.19,0.0749999999999999,0.05999999999999989,1.0,0.23,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.6,0.43,0.59,0.43,0.02,0.62,-0.058,0.023,-0.1
0.45,0.45,0.81,0.81,1.0,1.0,0.16199999999999998,0.16199999999999998,0.54,0.54,0.55,0.18,0.0,0.0,1.0,0.27,0.9299999999999999,0.67,0.27,0.94,0.92,0.27,0.27,0.55,0.45,0.55,0.45,0.06,0.27,-0.054,0.022,-0.096
0.49,0.49,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.58,0.58,0.56,0.17,0.04499999999999987,0.0,1.0,0.25,0.99,0.65,0.26,0.99,0.99,0.26,0.26,0.58,0.44,0.55,0.46,0.03,0.6,-0.009,0.04,-0.069
0.5,0.5,0.93,0.93,1.0,1.0,0.22329294264316557,0.22255746603012083,0.31,0.31,0.41,0.32,0.0,0.0,1.0,0.24,0.99,0.64,0.26,0.99,0.99,0.26,0.26,0.54,0.46,0.54,0.47,0.02,0.59,0.003,0.031,-0.054
0.56,0.56,1.0,1.0,0.98,0.98,0.4309519040584564,0.43031985640525816,0.24,0.24,0.35,0.38,0.0,0.0,1.0,0.24,0.985,0.64,0.26,0.98,0.99,0.26,0.26,0.52,0.51,0.53,0.49,0.02,0.58,0.032,0.032,-0.039
0.5,0.5,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.36,0.36,0.0,0.0,1.0,0.24,0.99,0.64,0.26,0.99,0.99,0.26,0.26,0.36,0.82,0.37,0.81,0.02,0.58,0.05,0.049,-0.026
0.49,0.49,0.91,0.91,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.37,0.35,0.0,0.0,1.0,0.23,0.99,0.64,0.26,0.99,0.99,0.26,0.26,0.31,0.92,0.31,0.92,0.02,0.58,0.055,0.064,-0.012
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.31,0.31,0.42,0.3,0.0,0.0,1.0,0.25,0.97,0.65,0.27,0.97,0.97,0.27,0.27,0.31,0.92,0.31,0.92,0.02,0.55,0.074,0.084,0.025
0.44,0.44,0.8,0.8,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.42,0.3,0.0,0.0,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.34,0.85,0.34,0.85,0.02,0.54,0.114,0.108,0.063
0.45,0.45,0.82,0.82,1.0,1.0,0.16199999999999998,0.16199999999999998,0.33,0.33,0.42,0.3,0.0,0.0,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.35,0.84,0.35,0.84,0.01,0.54,0.165,0.123,0.087
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.33,0.33,0.42,0.3,0.0,0.0,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.34,0.85,0.35,0.85,0.01,0.54,0.166,0.139,0.096
0.43,0.43,0.78,0.78,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.43,0.29,0.0,0.0,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.34,0.85,0.34,0.85,0.01,0.53,0.174,0.159,0.099
0.43,0.43,0.76,0.76,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.44,0.29,0.0,0.0,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.34,0.86,0.34,0.86,0.01,0.53,0.175,0.18,0.104
