face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.48,0.48,0.89,0.89,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.04499999999999987,0.04499999999999987,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.58,0.44,0.01,0.58,-0.042,0.001,-0.067
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.31,0.31,0.37,0.35,0.22499999999999987,0.18,1.0,0.26,0.905,0.66,0.27,0.9,0.91,0.27,0.27,0.7,0.38,0.67,0.4,0.04,0.49,-0.018,0.009,-0.066
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.36,0.36,0.05999999999999989,0.04499999999999987,1.0,0.21,1.0,0.62,0.25,1.0,1.0,0.25,0.25,0.59,0.43,0.58,0.44,0.02,0.53,-0.017,0.015,-0.07
0.49,0.49,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.35,0.37,0.05999999999999989,0.02999999999999986,1.0,0.21,1.0,0.62,0.25,1.0,1.0,0.25,0.25,0.59,0.43,0.57,0.44,0.01,0.52,-0.025,0.014,-0.054
0.49,0.49,0.91,0.91,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.35,0.37,0.02999999999999986,0.015000000000000013,1.0,0.22,0.99,0.62,0.26,0.99,0.99,0.26,0.26,0.57,0.44,0.56,0.44,0.01,0.52,-0.007,-0.001,-0.016
0.49,0.49,0.91,0.91,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.02999999999999986,0.02999999999999986,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.57,0.44,0.57,0.44,0.02,0.53,0.004,0.001,-0.006
0.49,0.49,0.92,0.92,1.0,1.0,0.29077021360397337,0.2898360002040863,0.3,0.3,0.37,0.36,0.04499999999999987,0.04499999999999987,1.0,0.23,0.99,0.63,0.28,0.99,0.99,0.28,0.28,0.58,0.44,0.58,0.44,0.02,0.53,-0.003,0.003,0.008
0.56,0.56,1.0,1.0,0.98,0.98,0.5383266019821167,0.5368019151687622,0.22,0.22,0.37,0.36,0.0749999999999999,0.08999999999999991,1.0,0.25,0.96,0.65,0.29,0.96,0.96,0.29,0.29,0.6,0.43,0.61,0.42,0.02,0.53,-0.039,0.008,0.027
0.52,0.52,0.98,0.98,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.36,0.36,0.04499999999999987,0.02999999999999986,1.0,0.23,0.99,0.64,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.57,0.44,0.02,0.55,-0.006,0.02,0.022
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.3,0.3,0.38,0.34,0.04499999999999987,0.02999999999999986,1.0,0.23,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.57,0.44,0.02,0.56,0.041,0.02,0.029
0.75,0.75,1.0,1.0,0.82,0.82,0.16199999999999998,0.16199999999999998,0.24,0.24,0.37,0.36,0.04499999999999987,0.02999999999999986,1.0,0.23,0.99,0.64,0.27,0.99,0.99,0.27,0.27,0.58,0.44,0.57,0.44,0.02,0.62,0.116,0.018,0.035
0.79,0.79,1.0,1.0,0.79,0.79,0.16199999999999998,0.16199999999999998,0.22,0.22,0.36,0.36,0.02999999999999986,0.015000000000000013,1.0,0.25,0.99,0.65,0.28,0.99,0.99,0.28,0.28,0.57,0.44,0.56,0.45,0.03,0.64,0.171,0.013,0.031
