face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.46,0.46,0.83,0.83,1.0,1.0,0.4544811654090881,0.4529171097278595,0.26,0.26,0.34,0.39,0.195,0.195,1.0,0.23,0.97,0.63,0.27,0.97,0.97,0.27,0.27,0.68,0.39,0.68,0.39,0.02,0.56,-0.059,0.001,-0.091
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.33,0.39,0.18,0.14999999999999997,1.0,0.24,0.97,0.65,0.26,0.97,0.97,0.26,0.26,0.67,0.4,0.65,0.41,0.03,0.62,-0.005,0.016,-0.077
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.34,0.39,0.14999999999999997,0.13499999999999995,1.0,0.23,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.65,0.4,0.64,0.41,0.02,0.58,-0.016,-0.001,-0.064
0.47,0.47,0.87,0.87,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.33,0.39,0.14999999999999997,0.13499999999999995,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.65,0.4,0.64,0.41,0.02,0.56,0.009,-0.011,-0.034
0.48,0.48,0.89,0.89,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.16499999999999998,0.13499999999999995,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.66,0.4,0.64,0.41,0.01,0.58,0.031,-0.003,-0.029
0.46,0.46,0.83,0.83,1.0,1.0,0.7423122930526733,0.7398389983177185,0.2,0.2,0.35,0.38,0.16499999999999998,0.16499999999999998,1.0,0.24,0.955,0.64,0.27,0.95,0.96,0.27,0.27,0.66,0.4,0.66,0.4,0.02,0.58,0.031,0.004,-0.029
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.36,0.37,0.14999999999999997,0.14999999999999997,1.0,0.24,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.65,0.4,0.65,0.41,0.02,0.56,0.021,0.005,-0.027
0.47,0.47,0.87,0.87,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.38,0.34,0.16499999999999998,0.14999999999999997,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.65,0.41,0.02,0.55,0.035,0.003,-0.019
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.38,0.34,0.16499999999999998,0.13499999999999995,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.64,0.41,0.01,0.56,0.033,-0.004,0.012
0.49,0.49,0.9,0.9,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.38,0.35,0.16499999999999998,0.13499999999999995,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.64,0.41,0.01,0.56,0.024,-0.002,0.017
0.56,0.56,1.0,1.0,0.98,0.98,0.90603200674057,0.9058968234062195,0.3,0.3,0.37,0.36,0.16499999999999998,0.18,1.0,0.24,0.945,0.65,0.29,0.94,0.95,0.29,0.29,0.66,0.4,0.67,0.4,0.02,0.55,0.032,-0.001,0.006
