start livelink
[-0.173, 0.014, -0.035]
[-0.178, 0.015, -0.037]
[-0.182, 0.014, -0.037]
[-0.184, 0.013, -0.038]
[-0.184, 0.012, -0.038]
[-0.182, 0.012, -0.038]
[-0.179, 0.011, -0.038]
[-0.176, 0.011, -0.036]
[-0.177, 0.012, -0.034]
[-0.168, 0.014, -0.029]
[-0.157, 0.016, -0.023]
[-0.146, 0.018, -0.021]
[-0.134, 0.02, -0.019]
[-0.137, 0.017, -0.024]
[-0.138, 0.013, -0.028]
[-0.134, 0.01, -0.029]
[-0.129, 0.008, -0.029]
[-0.116, 0.008, -0.024]
[-0.106, 0.008, -0.019]
[-0.101, 0.009, -0.013]
[-0.097, 0.009, -0.009]
[-0.097, 0.009, -0.008]
[-0.095, 0.009, -0.009]
[-0.093, 0.009, -0.01]
[-0.091, 0.011, -0.011]
[-0.094, 0.013, -0.009]
[-0.096, 0.014, -0.007]
[-0.096, 0.015, -0.006]
[-0.093, 0.017, -0.008]
[-0.082, 0.02, -0.008]
[-0.072, 0.022, -0.009]
[-0.064, 0.023, -0.008]
[-0.058, 0.024, -0.007]
[-0.054, 0.024, -0.006]
[-0.05, 0.024, -0.005]
[-0.047, 0.025, -0.004]
[-0.044, 0.026, -0.003]
[-0.042, 0.027, -0.003]
[-0.04, 0.028, -0.002]
[-0.036, 0.028, -0.002]
[-0.031, 0.029, -0.001]
[-0.025, 0.029, 0.001]
[-0.02, 0.03, 0.002]
[-0.016, 0.03, 0.003]
[-0.012, 0.031, 0.004]
[-0.006, 0.031, 0.005]
[-0.001, 0.032, 0.006]
[0.003, 0.033, 0.009]
[0.004, 0.033, 0.013]
[0.004, 0.033, 0.018]
[0.004, 0.033, 0.022]
[0.005, 0.033, 0.025]
[0.01, 0.034, 0.027]
[0.017, 0.034, 0.029]
[0.025, 0.035, 0.03]
[0.037, 0.035, 0.03]
[0.055, 0.036, 0.031]
[0.07, 0.037, 0.03]
[0.084, 0.037, 0.03]
[0.094, 0.038, 0.029]
[0.102, 0.039, 0.029]
[0.109, 0.039, 0.028]
[0.116, 0.04, 0.028]
[0.123, 0.04, 0.029]
[0.13, 0.04, 0.03]
[0.137, 0.04, 0.031]
[0.145, 0.04, 0.032]
[0.153, 0.04, 0.032]
[0.162, 0.041, 0.033]
[0.169, 0.04, 0.032]
[0.177, 0.04, 0.032]
[0.185, 0.04, 0.032]
[0.203, 0.038, 0.032]
[0.203, 0.038, 0.032]
[0.219, 0.037, 0.033]
[0.225, 0.037, 0.034]
[0.231, 0.036, 0.035]
[0.237, 0.036, 0.035]
[0.241, 0.035, 0.036]
[0.243, 0.035, 0.039]
[0.246, 0.034, 0.04]
[0.249, 0.034, 0.04]
[0.256, 0.034, 0.038]
[0.261, 0.034, 0.036]
[0.263, 0.034, 0.034]
[0.265, 0.034, 0.034]
[0.265, 0.033, 0.035]
[0.264, 0.033, 0.036]
[0.264, 0.033, 0.037]
[0.264, 0.033, 0.037]
[0.262, 0.034, 0.038]
[0.259, 0.034, 0.038]
[0.256, 0.034, 0.038]
[0.254, 0.034, 0.039]
[0.253, 0.034, 0.039]
[0.251, 0.033, 0.039]
[0.248, 0.033, 0.039]
[0.245, 0.032, 0.04]
[0.241, 0.032, 0.04]
[0.237, 0.032, 0.04]
[0.232, 0.032, 0.04]
[0.228, 0.032, 0.04]
[0.222, 0.031, 0.04]
[0.216, 0.03, 0.038]
[0.212, 0.029, 0.036]
[0.208, 0.028, 0.033]
[0.203, 0.027, 0.031]
[0.196, 0.026, 0.029]
[0.178, 0.025, 0.027]
[0.17, 0.024, 0.027]
[0.164, 0.023, 0.028]
[0.158, 0.023, 0.029]
[0.154, 0.023, 0.03]
[0.152, 0.023, 0.031]
[0.149, 0.023, 0.032]
[0.147, 0.022, 0.032]
[0.146, 0.02, 0.032]
[0.144, 0.019, 0.032]
[0.142, 0.018, 0.032]
[0.141, 0.017, 0.032]
[0.14, 0.017, 0.032]
[0.139, 0.016, 0.032]
[0.139, 0.015, 0.031]
[0.138, 0.014, 0.031]
[0.139, 0.013, 0.031]
[0.139, 0.012, 0.031]
[0.14, 0.01, 0.03]
[0.142, 0.009, 0.03]
[0.144, 0.007, 0.028]
[0.146, 0.006, 0.027]
[0.148, 0.004, 0.026]
[0.149, 0.003, 0.025]
[0.149, 0.002, 0.025]
[0.148, 0.001, 0.024]
[0.147, -0.0, 0.023]
[0.148, -0.002, 0.021]
[0.15, -0.003, 0.021]
[0.152, -0.005, 0.02]
[0.153, -0.006, 0.019]
[0.155, -0.007, 0.018]
[0.155, -0.009, 0.018]
[0.157, -0.01, 0.017]
[0.159, -0.011, 0.016]
[0.161, -0.012, 0.015]
[0.162, -0.013, 0.015]
[0.165, -0.015, 0.015]
[0.166, -0.016, 0.015]
[0.17, -0.021, 0.015]
[0.17, -0.021, 0.015]
[0.171, -0.023, 0.015]
[0.174, -0.024, 0.015]
[0.176, -0.026, 0.015]
[0.178, -0.027, 0.014]
[0.182, -0.027, 0.014]
[0.187, -0.027, 0.013]
[0.192, -0.026, 0.012]
[0.197, -0.025, 0.012]
[0.2, -0.024, 0.012]
[0.203, -0.023, 0.012]
[0.205, -0.024, 0.013]
[0.207, -0.024, 0.013]
[0.21, -0.024, 0.014]
[0.214, -0.024, 0.015]
[0.217, -0.024, 0.017]
[0.219, -0.025, 0.017]
[0.219, -0.025, 0.018]
[0.219, -0.024, 0.019]
[0.221, -0.023, 0.019]
[0.222, -0.023, 0.02]
[0.225, -0.023, 0.021]
[0.226, -0.022, 0.022]
[0.227, -0.022, 0.023]
[0.227, -0.021, 0.024]
[0.227, -0.02, 0.024]
[0.227, -0.019, 0.025]
[0.226, -0.018, 0.025]
[0.223, -0.016, 0.025]
[0.223, -0.016, 0.025]
[0.222, -0.016, 0.026]
[0.221, -0.015, 0.026]
[0.219, -0.013, 0.027]
[0.218, -0.012, 0.027]
[0.217, -0.011, 0.028]
[0.218, -0.01, 0.031]
[0.218, -0.01, 0.031]
[0.219, -0.009, 0.033]
[0.219, -0.009, 0.033]
[0.218, -0.008, 0.034]
[0.218, -0.008, 0.034]
[0.218, -0.007, 0.035]
[0.218, -0.006, 0.035]
[0.218, -0.005, 0.036]
[0.219, -0.005, 0.037]
[0.219, -0.004, 0.038]
[0.22, -0.003, 0.04]
[0.22, -0.003, 0.04]
[0.22, -0.003, 0.041]
[0.219, -0.002, 0.041]
[0.216, -0.001, 0.044]
[0.216, -0.001, 0.044]
[0.216, -0.001, 0.045]
[0.217, -0.002, 0.047]
[0.22, -0.001, 0.051]
[0.22, -0.001, 0.051]
[0.221, -0.0, 0.053]
[0.221, 0.001, 0.054]
[0.221, 0.001, 0.056]
[0.22, 0.001, 0.057]
[0.22, 0.001, 0.058]
[0.219, 0.0, 0.059]
[0.218, 0.0, 0.059]
[0.217, 0.0, 0.059]
[0.216, 0.0, 0.06]
[0.215, 0.0, 0.061]
[0.214, 0.001, 0.062]
[0.214, 0.001, 0.063]
[0.213, 0.002, 0.065]
[0.212, 0.003, 0.066]
[0.212, 0.004, 0.068]
[0.212, 0.006, 0.07]
[0.213, 0.007, 0.074]
[0.213, 0.009, 0.078]
[0.21, 0.01, 0.083]
[0.207, 0.011, 0.089]
[0.202, 0.012, 0.096]
[0.199, 0.012, 0.103]
[0.197, 0.013, 0.11]
[0.196, 0.013, 0.117]
[0.194, 0.014, 0.124]
[0.192, 0.014, 0.131]
[0.191, 0.016, 0.141]
[0.191, 0.016, 0.141]
[0.192, 0.018, 0.146]
[0.192, 0.019, 0.15]
[0.191, 0.02, 0.153]
[0.191, 0.021, 0.157]
[0.19, 0.021, 0.16]
[0.191, 0.022, 0.162]
[0.192, 0.022, 0.166]
[0.192, 0.022, 0.166]
[0.193, 0.023, 0.166]
[0.192, 0.024, 0.165]
[0.189, 0.025, 0.164]
[0.186, 0.026, 0.162]
[0.181, 0.026, 0.159]
[0.178, 0.027, 0.157]
[0.175, 0.027, 0.154]
[0.172, 0.026, 0.151]
[0.169, 0.026, 0.15]
[0.167, 0.026, 0.148]
[0.166, 0.026, 0.145]
[0.165, 0.026, 0.136]
[0.165, 0.026, 0.136]
[0.164, 0.026, 0.132]
[0.162, 0.025, 0.127]
[0.16, 0.025, 0.122]
[0.158, 0.025, 0.117]
[0.157, 0.024, 0.113]
[0.156, 0.023, 0.109]
[0.155, 0.022, 0.105]
[0.153, 0.021, 0.102]
[0.15, 0.02, 0.098]
[0.148, 0.02, 0.094]
[0.145, 0.018, 0.087]
[0.145, 0.018, 0.087]
[0.144, 0.017, 0.084]
[0.143, 0.016, 0.082]
[0.142, 0.015, 0.078]
[0.142, 0.015, 0.078]
[0.141, 0.014, 0.076]
[0.141, 0.013, 0.074]
[0.139, 0.013, 0.072]
[0.138, 0.013, 0.07]
[0.14, 0.013, 0.067]
[0.145, 0.012, 0.064]
[0.15, 0.011, 0.06]
[0.153, 0.011, 0.057]
[0.155, 0.009, 0.055]
[0.154, 0.006, 0.05]
[0.154, 0.006, 0.05]
[0.152, 0.005, 0.047]
[0.149, 0.005, 0.045]
[0.145, 0.006, 0.045]
[0.143, 0.006, 0.044]
[0.142, 0.006, 0.044]
[0.141, 0.007, 0.044]
[0.14, 0.007, 0.044]
[0.14, 0.008, 0.044]
[0.139, 0.009, 0.044]
[0.14, 0.01, 0.043]
[0.14, 0.01, 0.043]
[0.141, 0.011, 0.042]
[0.142, 0.011, 0.04]
[0.145, 0.012, 0.038]
[0.151, 0.012, 0.035]
[0.153, 0.013, 0.033]
[0.155, 0.013, 0.031]
[0.156, 0.013, 0.03]
[0.156, 0.014, 0.03]
[0.156, 0.014, 0.03]
[0.157, 0.014, 0.031]
[0.156, 0.014, 0.031]
[0.154, 0.014, 0.033]
[0.15, 0.014, 0.036]
[0.15, 0.014, 0.036]
[0.149, 0.014, 0.037]
[0.15, 0.013, 0.037]
[0.15, 0.012, 0.035]
[0.15, 0.012, 0.035]
[0.15, 0.012, 0.035]
[0.147, 0.013, 0.035]
[0.147, 0.013, 0.035]
[0.146, 0.013, 0.035]
[0.145, 0.013, 0.034]
[0.143, 0.013, 0.032]
[0.143, 0.013, 0.032]
[0.142, 0.012, 0.031]
[0.141, 0.012, 0.031]
[0.138, 0.012, 0.031]
[0.138, 0.012, 0.031]
[0.137, 0.012, 0.03]
[0.136, 0.012, 0.03]
[0.136, 0.012, 0.03]
[0.135, 0.012, 0.03]
[0.135, 0.012, 0.03]
[0.134, 0.012, 0.029]
[0.133, 0.011, 0.028]
[0.133, 0.011, 0.028]
[0.131, 0.011, 0.028]
[0.13, 0.01, 0.028]
[0.128, 0.01, 0.028]
[0.126, 0.009, 0.028]
[0.125, 0.009, 0.028]
[0.125, 0.008, 0.028]
[0.125, 0.007, 0.028]
[0.126, 0.007, 0.028]
[0.126, 0.007, 0.029]
[0.126, 0.007, 0.028]
[0.126, 0.007, 0.028]
[0.126, 0.007, 0.028]
[0.126, 0.007, 0.028]
[0.127, 0.007, 0.029]
[0.128, 0.006, 0.029]
[0.128, 0.006, 0.029]
[0.128, 0.005, 0.028]
[0.128, 0.005, 0.028]
[0.126, 0.005, 0.027]
[0.124, 0.004, 0.026]
[0.124, 0.003, 0.025]
[0.124, 0.003, 0.025]
[0.125, 0.003, 0.024]
[0.127, 0.002, 0.023]
[0.127, 0.001, 0.022]
[0.126, 0.001, 0.021]
[0.125, 0.001, 0.02]
[0.124, 0.0, 0.02]
[0.124, -0.0, 0.02]
[0.125, -0.001, 0.02]
[0.126, -0.002, 0.02]
[0.126, -0.002, 0.02]
[0.126, -0.003, 0.02]
[0.124, -0.004, 0.019]
[0.123, -0.005, 0.019]
[0.123, -0.006, 0.018]
[0.122, -0.006, 0.018]
[0.122, -0.007, 0.017]
[0.123, -0.007, 0.017]
[0.122, -0.008, 0.017]
[0.123, -0.009, 0.016]
[0.123, -0.01, 0.015]
[0.122, -0.01, 0.015]
[0.122, -0.011, 0.014]
[0.122, -0.011, 0.015]
[0.122, -0.012, 0.015]
[0.122, -0.012, 0.015]
[0.121, -0.012, 0.015]
[0.12, -0.013, 0.015]
[0.12, -0.013, 0.014]
[0.119, -0.014, 0.014]
[0.12, -0.014, 0.014]
[0.121, -0.015, 0.014]
[0.122, -0.015, 0.014]
[0.123, -0.015, 0.014]
[0.123, -0.015, 0.014]
[0.123, -0.015, 0.014]
[0.124, -0.015, 0.014]
[0.124, -0.015, 0.014]
[0.125, -0.015, 0.014]
[0.125, -0.015, 0.014]
