face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.32,0.32,0.51,0.51,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.35,0.37,0.05999999999999989,0.02999999999999986,1.0,0.28,0.935,0.67,0.33,0.93,0.94,0.33,0.33,0.59,0.43,0.57,0.44,0.04,0.39,0.141,0.023,-0.038
0.56,0.56,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.43,0.43,0.38,0.35,0.015000000000000013,0.0,1.0,0.33,0.955,0.71,0.3,0.95,0.96,0.3,0.3,0.56,0.45,0.55,0.45,0.04,0.51,0.134,0.021,-0.037
0.57,0.57,1.0,1.0,0.97,0.97,0.37056843519210814,0.3689859318733215,0.23,0.23,0.37,0.35,0.16499999999999998,0.14999999999999997,1.0,0.34,0.925,0.72,0.36,0.92,0.93,0.36,0.36,0.66,0.4,0.65,0.41,0.04,0.49,0.114,0.031,-0.031
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.32,0.32,0.36,0.35,0.4349999999999999,0.39,1.0,0.3,0.9,0.69,0.41,0.9,0.9,0.41,0.41,0.84,0.32,0.81,0.34,0.05,0.42,0.151,0.033,-0.019
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.32,0.32,0.36,0.36,0.6299999999999999,0.5849999999999999,1.0,0.29,0.85,0.68,0.47,0.85,0.85,0.47,0.47,0.97,0.27,0.94,0.28,0.06,0.38,0.152,0.031,-0.021
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.32,0.32,0.35,0.37,0.6749999999999999,0.6449999999999999,1.0,0.29,0.805,0.68,0.52,0.8,0.81,0.52,0.52,1.0,0.25,0.98,0.26,0.08,0.36,0.151,0.025,-0.018
0.57,0.57,1.0,1.0,0.97,0.97,0.28038335919380186,0.2801923561096191,0.3,0.3,0.35,0.37,0.6749999999999999,0.6449999999999999,0.75,0.29,0.755,0.68,0.52,0.75,0.76,0.52,0.52,1.0,0.25,0.98,0.26,0.08,0.35,0.142,0.014,-0.016
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.39,0.39,0.33,0.39,0.705,0.6599999999999999,0.75,0.29,0.795,0.68,0.53,0.79,0.8,0.53,0.53,1.02,0.24,0.99,0.25,0.08,0.33,0.077,0.002,-0.015
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.4,0.4,0.33,0.39,0.795,0.765,0.75,0.29,0.785,0.68,0.53,0.78,0.79,0.53,0.53,1.08,0.21,1.06,0.23,0.08,0.32,0.069,0.001,-0.02
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.41,0.41,0.34,0.38,0.81,0.78,0.75,0.28,0.765,0.67,0.56,0.76,0.77,0.56,0.56,1.09,0.21,1.07,0.22,0.1,0.32,0.065,0.001,-0.019
0.34,0.34,0.56,0.56,1.0,1.0,0.259703676700592,0.25930080890655516,0.34,0.34,0.38,0.34,0.81,0.78,0.75,0.28,0.755,0.67,0.56,0.75,0.76,0.56,0.56,1.09,0.21,1.07,0.22,0.1,0.31,0.059,0.008,-0.009
0.56,0.56,1.0,1.0,0.98,0.98,0.381729941368103,0.38093207359313963,0.29,0.29,0.41,0.31,0.81,0.81,0.75,0.27,0.6849999999999999,0.67,0.56,0.6799999999999999,0.69,0.56,0.56,1.09,0.21,1.09,0.21,0.1,0.32,0.06,0.02,0.016
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.36,0.36,0.43,0.29,0.81,0.81,0.75,0.27,0.695,0.67,0.56,0.69,0.7,0.56,0.56,1.09,0.21,1.09,0.21,0.1,0.31,0.061,0.035,0.032
0.27,0.27,0.39,0.39,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.48,0.24,0.81,0.81,0.75,0.27,0.69,0.67,0.56,0.6799999999999999,0.7,0.56,0.56,1.09,0.21,1.09,0.21,0.09,0.31,0.079,0.052,0.055
