face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.36,0.36,0.6,0.6,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.34,0.38,0.08999999999999991,0.05999999999999989,1.0,0.22,0.985,0.63,0.26,0.98,0.99,0.26,0.26,0.61,0.42,0.59,0.43,0.01,0.59,-0.02,0.021,-0.067
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.48,0.48,0.36,0.37,0.0,0.0,1.0,0.22,0.98,0.62,0.25,0.98,0.98,0.25,0.25,0.51,0.53,0.5,0.55,0.0,0.54,0.098,0.068,-0.076
0.43,0.43,0.76,0.76,1.0,1.0,0.18763315260410307,0.18750030875205992,0.34,0.34,0.35,0.37,0.05999999999999989,0.0749999999999999,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.59,0.43,0.6,0.43,0.01,0.57,-0.025,0.013,-0.046
0.43,0.43,0.78,0.78,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.10499999999999993,0.08999999999999991,1.0,0.23,0.98,0.63,0.27,0.98,0.98,0.27,0.27,0.62,0.42,0.61,0.42,0.01,0.57,0.027,0.017,-0.039
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.34,0.38,0.08999999999999991,0.0749999999999999,1.0,0.23,0.98,0.63,0.27,0.98,0.98,0.27,0.27,0.61,0.42,0.6,0.43,0.01,0.57,0.048,0.018,-0.037
0.42,0.42,0.75,0.75,1.0,1.0,0.36241028785705565,0.36060367107391356,0.28,0.28,0.35,0.37,0.0749999999999999,0.0749999999999999,1.0,0.23,0.98,0.63,0.28,0.98,0.98,0.28,0.28,0.6,0.43,0.6,0.43,0.01,0.57,0.063,0.024,-0.033
0.56,0.56,1.0,1.0,0.98,0.98,0.19331648528575895,0.19276700496673582,0.34,0.34,0.34,0.38,0.08999999999999991,0.10499999999999993,1.0,0.24,0.96,0.65,0.28,0.96,0.96,0.28,0.28,0.61,0.42,0.62,0.42,0.02,0.57,0.075,0.029,-0.033
0.44,0.44,0.8,0.8,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.35,0.37,0.08999999999999991,0.08999999999999991,1.0,0.24,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.61,0.43,0.61,0.42,0.02,0.57,0.091,0.041,-0.023
0.43,0.43,0.77,0.77,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.36,0.36,0.0749999999999999,0.0749999999999999,1.0,0.23,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.6,0.43,0.6,0.43,0.01,0.56,0.105,0.054,-0.017
0.37,0.37,0.63,0.63,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.38,0.34,0.0749999999999999,0.0749999999999999,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.6,0.43,0.6,0.43,0.01,0.56,0.111,0.062,-0.007
0.32,0.32,0.52,0.52,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.4,0.32,0.08999999999999991,0.0749999999999999,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.61,0.42,0.6,0.43,0.01,0.55,0.134,0.075,0.013
0.38,0.38,0.66,0.66,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.41,0.31,0.08999999999999991,0.08999999999999991,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.61,0.42,0.61,0.42,0.01,0.55,0.146,0.085,0.025
