start livelink
[0.042, 0.019, -0.043]
[0.043, 0.02, -0.044]
[0.045, 0.021, -0.046]
[0.045, 0.021, -0.046]
[0.044, 0.021, -0.047]
[0.041, 0.022, -0.047]
[0.041, 0.023, -0.044]
[0.044, 0.024, -0.04]
[0.053, 0.027, -0.039]
[0.07, 0.028, -0.04]
[0.068, 0.028, -0.039]
[0.062, 0.028, -0.042]
[0.058, 0.027, -0.043]
[0.053, 0.026, -0.043]
[0.052, 0.025, -0.045]
[0.051, 0.024, -0.045]
[0.049, 0.024, -0.045]
[0.047, 0.023, -0.045]
[0.045, 0.023, -0.045]
[0.044, 0.023, -0.044]
[0.044, 0.023, -0.042]
[0.044, 0.023, -0.042]
[0.045, 0.023, -0.041]
[0.047, 0.023, -0.041]
[0.05, 0.023, -0.041]
[0.052, 0.023, -0.04]
[0.054, 0.023, -0.038]
[0.055, 0.022, -0.036]
[0.056, 0.022, -0.035]
[0.059, 0.021, -0.034]
[0.065, 0.021, -0.032]
[0.065, 0.021, -0.032]
[0.068, 0.021, -0.03]
[0.07, 0.021, -0.027]
[0.069, 0.021, -0.022]
[0.069, 0.021, -0.022]
[0.069, 0.021, -0.021]
[0.066, 0.021, -0.02]
[0.062, 0.021, -0.02]
[0.058, 0.021, -0.02]
[0.056, 0.022, -0.02]
[0.057, 0.021, -0.021]
[0.059, 0.021, -0.021]
[0.062, 0.021, -0.021]
[0.064, 0.02, -0.021]
[0.066, 0.02, -0.021]
[0.067, 0.02, -0.019]
[0.068, 0.02, -0.018]
[0.068, 0.021, -0.016]
[0.068, 0.021, -0.014]
[0.068, 0.023, -0.012]
[0.068, 0.024, -0.011]
[0.068, 0.025, -0.009]
[0.067, 0.026, -0.007]
[0.064, 0.027, -0.004]
[0.059, 0.027, 0.001]
[0.045, 0.026, 0.012]
[0.045, 0.026, 0.012]
[0.041, 0.026, 0.018]
[0.039, 0.027, 0.024]
[0.041, 0.028, 0.034]
[0.041, 0.028, 0.034]
[0.041, 0.029, 0.037]
[0.04, 0.03, 0.039]
[0.039, 0.031, 0.04]
[0.038, 0.033, 0.041]
[0.038, 0.035, 0.041]
[0.037, 0.036, 0.041]
[0.037, 0.038, 0.04]
[0.037, 0.04, 0.039]
[0.036, 0.041, 0.037]
[0.036, 0.042, 0.035]
[0.035, 0.043, 0.033]
[0.035, 0.044, 0.032]
[0.033, 0.046, 0.031]
[0.032, 0.048, 0.031]
[0.031, 0.049, 0.031]
[0.029, 0.051, 0.032]
[0.027, 0.053, 0.033]
[0.025, 0.056, 0.035]
[0.019, 0.058, 0.037]
[0.01, 0.061, 0.04]
[-0.001, 0.064, 0.047]
[-0.009, 0.066, 0.056]
[-0.013, 0.07, 0.076]
[-0.011, 0.073, 0.098]
[-0.005, 0.077, 0.118]
[0.008, 0.08, 0.132]
[0.012, 0.082, 0.143]
[0.014, 0.085, 0.154]
[0.015, 0.088, 0.172]
[0.015, 0.088, 0.172]
[0.016, 0.09, 0.178]
[0.017, 0.092, 0.182]
[0.018, 0.094, 0.184]
[0.02, 0.096, 0.185]
[0.022, 0.097, 0.184]
[0.025, 0.098, 0.184]
[0.028, 0.099, 0.182]
[0.031, 0.099, 0.179]
[0.033, 0.099, 0.177]
[0.035, 0.099, 0.175]
[0.035, 0.099, 0.174]
[0.037, 0.099, 0.173]
[0.038, 0.099, 0.173]
[0.038, 0.099, 0.173]
[0.038, 0.099, 0.17]
[0.035, 0.098, 0.168]
[0.031, 0.096, 0.167]
[0.028, 0.095, 0.165]
[0.026, 0.092, 0.158]
[0.026, 0.092, 0.158]
[0.029, 0.09, 0.15]
[0.034, 0.088, 0.141]
[0.045, 0.085, 0.118]
[0.045, 0.085, 0.118]
[0.051, 0.086, 0.107]
[0.056, 0.086, 0.097]
[0.067, 0.087, 0.076]
[0.067, 0.087, 0.076]
[0.072, 0.086, 0.065]
[0.074, 0.084, 0.053]
[0.076, 0.078, 0.038]
[0.077, 0.076, 0.032]
[0.077, 0.076, 0.032]
[0.081, 0.073, 0.027]
[0.09, 0.068, 0.017]
[0.09, 0.068, 0.017]
[0.095, 0.066, 0.012]
[0.099, 0.064, 0.008]
[0.102, 0.06, -0.0]
[0.102, 0.06, -0.0]
[0.103, 0.059, -0.004]
[0.104, 0.057, -0.007]
[0.107, 0.055, -0.01]
[0.111, 0.053, -0.013]
[0.112, 0.051, -0.014]
[0.111, 0.048, -0.017]
[0.107, 0.042, -0.021]
[0.107, 0.042, -0.021]
[0.105, 0.039, -0.023]
[0.106, 0.037, -0.024]
[0.11, 0.034, -0.025]
[0.114, 0.033, -0.027]
[0.117, 0.03, -0.029]
[0.12, 0.028, -0.03]
[0.122, 0.026, -0.032]
[0.124, 0.023, -0.033]
[0.126, 0.021, -0.035]
[0.128, 0.019, -0.036]
[0.131, 0.018, -0.037]
[0.132, 0.015, -0.037]
[0.133, 0.014, -0.037]
[0.134, 0.012, -0.037]
[0.134, 0.01, -0.037]
[0.134, 0.008, -0.038]
[0.134, 0.007, -0.038]
[0.133, 0.005, -0.039]
[0.128, 0.002, -0.039]
[0.128, 0.002, -0.039]
[0.126, 0.001, -0.039]
[0.124, -0.001, -0.039]
[0.122, -0.002, -0.04]
[0.119, -0.003, -0.041]
[0.116, -0.005, -0.041]
[0.113, -0.006, -0.04]
[0.111, -0.007, -0.039]
[0.109, -0.009, -0.038]
[0.107, -0.01, -0.036]
[0.105, -0.011, -0.034]
[0.102, -0.012, -0.033]
[0.1, -0.013, -0.03]
[0.098, -0.014, -0.028]
[0.096, -0.014, -0.025]
[0.094, -0.014, -0.023]
[0.09, -0.013, -0.021]
[0.087, -0.013, -0.02]
[0.081, -0.013, -0.018]
[0.073, -0.015, -0.017]
[0.067, -0.017, -0.014]
[0.061, -0.019, -0.011]
[0.058, -0.02, -0.009]
[0.057, -0.02, -0.006]
[0.055, -0.019, -0.003]
[0.054, -0.017, -0.0]
[0.052, -0.015, 0.002]
[0.051, -0.013, 0.005]
[0.049, -0.012, 0.007]
[0.048, -0.01, 0.008]
[0.048, -0.009, 0.01]
[0.049, -0.008, 0.012]
[0.05, -0.006, 0.013]
[0.051, -0.004, 0.014]
[0.052, -0.002, 0.015]
[0.052, -0.0, 0.015]
[0.054, 0.001, 0.016]
[0.055, 0.003, 0.016]
[0.057, 0.005, 0.016]
[0.058, 0.006, 0.016]
[0.058, 0.007, 0.015]
[0.06, 0.008, 0.015]
[0.062, 0.01, 0.015]
[0.071, 0.012, 0.015]
[0.071, 0.012, 0.015]
[0.075, 0.013, 0.016]
[0.078, 0.014, 0.016]
[0.079, 0.016, 0.016]
[0.08, 0.017, 0.016]
[0.081, 0.019, 0.015]
[0.083, 0.02, 0.014]
[0.086, 0.022, 0.014]
[0.088, 0.023, 0.013]
[0.089, 0.024, 0.013]
[0.091, 0.026, 0.012]
[0.093, 0.027, 0.012]
[0.095, 0.029, 0.012]
[0.097, 0.03, 0.012]
[0.099, 0.031, 0.013]
[0.099, 0.033, 0.013]
[0.099, 0.034, 0.014]
[0.099, 0.035, 0.014]
[0.099, 0.036, 0.015]
[0.102, 0.037, 0.016]
[0.104, 0.038, 0.017]
[0.106, 0.039, 0.019]
[0.108, 0.04, 0.021]
[0.11, 0.041, 0.023]
[0.11, 0.043, 0.025]
[0.111, 0.044, 0.028]
[0.111, 0.045, 0.031]
[0.109, 0.046, 0.034]
[0.105, 0.047, 0.038]
[0.101, 0.049, 0.041]
[0.098, 0.05, 0.045]
[0.096, 0.052, 0.048]
[0.096, 0.053, 0.053]
[0.096, 0.054, 0.057]
[0.096, 0.056, 0.06]
[0.097, 0.058, 0.067]
[0.097, 0.06, 0.069]
[0.097, 0.06, 0.069]
[0.098, 0.061, 0.072]
[0.099, 0.062, 0.073]
[0.1, 0.063, 0.073]
[0.1, 0.063, 0.073]
[0.1, 0.064, 0.073]
[0.1, 0.064, 0.074]
[0.1, 0.064, 0.075]
[0.1, 0.065, 0.076]
[0.099, 0.065, 0.075]
[0.097, 0.064, 0.074]
[0.097, 0.064, 0.074]
[0.097, 0.064, 0.074]
[0.096, 0.064, 0.073]
[0.094, 0.063, 0.071]
[0.093, 0.063, 0.07]
[0.092, 0.062, 0.067]
[0.09, 0.061, 0.064]
[0.088, 0.059, 0.059]
[0.087, 0.058, 0.051]
[0.086, 0.057, 0.041]
[0.086, 0.054, 0.03]
[0.086, 0.052, 0.019]
[0.083, 0.05, 0.009]
[0.079, 0.048, 0.001]
[0.075, 0.046, -0.005]
[0.072, 0.043, -0.01]
[0.069, 0.04, -0.014]
[0.067, 0.037, -0.019]
[0.066, 0.033, -0.025]
[0.066, 0.031, -0.03]
[0.066, 0.028, -0.035]
[0.065, 0.026, -0.04]
[0.062, 0.023, -0.044]
[0.061, 0.021, -0.048]
[0.059, 0.019, -0.052]
[0.057, 0.016, -0.057]
[0.055, 0.014, -0.06]
[0.054, 0.011, -0.063]
[0.053, 0.009, -0.065]
[0.055, 0.006, -0.066]
[0.056, 0.004, -0.067]
[0.058, 0.002, -0.068]
[0.058, -0.0, -0.069]
[0.057, -0.002, -0.07]
[0.055, -0.005, -0.071]
[0.055, -0.007, -0.071]
[0.055, -0.008, -0.07]
[0.055, -0.01, -0.069]
[0.055, -0.011, -0.069]
[0.054, -0.013, -0.067]
[0.054, -0.014, -0.065]
[0.056, -0.015, -0.061]
[0.058, -0.015, -0.057]
[0.06, -0.014, -0.054]
[0.061, -0.014, -0.053]
[0.062, -0.013, -0.051]
[0.062, -0.013, -0.05]
[0.061, -0.012, -0.047]
[0.06, -0.011, -0.045]
[0.059, -0.01, -0.043]
[0.058, -0.009, -0.042]
[0.058, -0.007, -0.041]
[0.057, -0.005, -0.041]
[0.058, -0.003, -0.04]
[0.059, -0.002, -0.039]
[0.06, -0.0, -0.038]
[0.061, 0.001, -0.038]
[0.061, 0.002, -0.037]
[0.061, 0.003, -0.036]
[0.061, 0.004, -0.035]
[0.062, 0.005, -0.034]
[0.062, 0.006, -0.034]
[0.063, 0.007, -0.033]
[0.066, 0.008, -0.032]
[0.067, 0.009, -0.031]
[0.07, 0.011, -0.03]
[0.073, 0.012, -0.029]
[0.076, 0.012, -0.027]
[0.085, 0.013, -0.025]
[0.085, 0.013, -0.025]
[0.089, 0.013, -0.025]
[0.094, 0.013, -0.025]
[0.098, 0.013, -0.025]
[0.102, 0.013, -0.026]
[0.104, 0.013, -0.026]
[0.107, 0.014, -0.026]
[0.11, 0.014, -0.025]
[0.112, 0.015, -0.025]
[0.114, 0.015, -0.024]
[0.116, 0.015, -0.024]
[0.117, 0.015, -0.023]
[0.118, 0.015, -0.022]
[0.12, 0.015, -0.021]
[0.121, 0.014, -0.021]
[0.122, 0.013, -0.02]
[0.124, 0.012, -0.019]
[0.126, 0.011, -0.019]
[0.128, 0.01, -0.017]
[0.13, 0.01, -0.015]
[0.132, 0.009, -0.014]
[0.134, 0.009, -0.013]
[0.135, 0.009, -0.012]
[0.135, 0.009, -0.012]
[0.135, 0.009, -0.011]
[0.134, 0.008, -0.01]
[0.133, 0.008, -0.01]
[0.133, 0.008, -0.01]
[0.133, 0.007, -0.01]
[0.132, 0.007, -0.009]
[0.131, 0.007, -0.008]
[0.13, 0.007, -0.008]
[0.13, 0.008, -0.007]
[0.13, 0.008, -0.007]
[0.13, 0.008, -0.007]
[0.131, 0.009, -0.006]
[0.131, 0.01, -0.006]
[0.131, 0.011, -0.004]
[0.131, 0.012, -0.003]
[0.132, 0.012, -0.002]
[0.134, 0.013, -0.001]
[0.136, 0.012, -0.002]
[0.142, 0.013, -0.001]
[0.146, 0.014, 0.001]
[0.149, 0.015, 0.003]
[0.15, 0.016, 0.005]
[0.149, 0.018, 0.008]
[0.146, 0.019, 0.012]
[0.144, 0.02, 0.016]
[0.142, 0.022, 0.021]
[0.141, 0.023, 0.025]
[0.141, 0.025, 0.029]
[0.14, 0.027, 0.032]
[0.141, 0.029, 0.035]
[0.141, 0.031, 0.038]
[0.142, 0.032, 0.04]
[0.141, 0.034, 0.042]
[0.141, 0.035, 0.044]
[0.14, 0.036, 0.045]
[0.139, 0.036, 0.047]
[0.136, 0.033, 0.048]
[0.133, 0.031, 0.049]
[0.131, 0.03, 0.049]
[0.129, 0.031, 0.048]
[0.13, 0.032, 0.047]
[0.131, 0.034, 0.046]
[0.133, 0.036, 0.045]
[0.135, 0.037, 0.045]
[0.134, 0.038, 0.045]
[0.134, 0.038, 0.045]
[0.132, 0.039, 0.045]
[0.131, 0.039, 0.043]
[0.131, 0.039, 0.042]
[0.13, 0.039, 0.039]
[0.129, 0.04, 0.036]
[0.129, 0.039, 0.032]
[0.13, 0.039, 0.029]
[0.132, 0.038, 0.027]
[0.132, 0.037, 0.026]
[0.132, 0.036, 0.025]
[0.131, 0.035, 0.024]
[0.131, 0.034, 0.024]
[0.129, 0.033, 0.023]
[0.126, 0.032, 0.023]
[0.122, 0.031, 0.022]
[0.119, 0.03, 0.022]
[0.118, 0.028, 0.022]
[0.117, 0.026, 0.02]
[0.117, 0.025, 0.018]
[0.115, 0.023, 0.014]
[0.112, 0.021, 0.011]
[0.11, 0.019, 0.008]
[0.108, 0.017, 0.006]
[0.105, 0.015, 0.003]
[0.102, 0.012, 0.0]
[0.098, 0.01, -0.003]
[0.095, 0.008, -0.006]
[0.093, 0.006, -0.007]
[0.089, 0.004, -0.009]
[0.086, 0.003, -0.01]
[0.082, 0.001, -0.01]
[0.08, -0.001, -0.011]
[0.077, -0.003, -0.013]
[0.075, -0.004, -0.014]
[0.072, -0.006, -0.015]
[0.071, -0.007, -0.017]
[0.07, -0.008, -0.017]
[0.068, -0.009, -0.017]
[0.067, -0.009, -0.016]
[0.065, -0.01, -0.015]
[0.064, -0.01, -0.014]
[0.063, -0.009, -0.013]
[0.061, -0.009, -0.012]
[0.06, -0.008, -0.012]
[0.06, -0.008, -0.011]
[0.059, -0.008, -0.011]
[0.058, -0.009, -0.011]
[0.057, -0.009, -0.011]
[0.056, -0.009, -0.011]
[0.056, -0.009, -0.011]
[0.058, -0.009, -0.01]
[0.059, -0.008, -0.01]
[0.06, -0.007, -0.009]
[0.059, -0.005, -0.008]
[0.059, -0.005, -0.008]
[0.058, -0.005, -0.008]
[0.056, -0.004, -0.008]
[0.054, -0.002, -0.008]
[0.054, -0.002, -0.008]
[0.054, -0.001, -0.008]
[0.054, -0.001, -0.008]
[0.053, -0.0, -0.008]
[0.053, 0.0, -0.008]
[0.052, 0.001, -0.008]
[0.053, 0.001, -0.008]
[0.054, 0.001, -0.007]
[0.057, 0.003, -0.005]
[0.057, 0.003, -0.005]
[0.058, 0.003, -0.005]
[0.06, 0.004, -0.003]
[0.061, 0.004, -0.003]
[0.061, 0.004, -0.002]
[0.059, 0.004, -0.002]
[0.053, 0.003, -0.001]
[0.052, 0.002, 0.002]
[0.053, 0.0, 0.006]
[0.057, -0.001, 0.011]
[0.061, -0.002, 0.013]
[0.064, -0.003, 0.014]
[0.065, -0.004, 0.015]
[0.065, -0.005, 0.015]
[0.065, -0.005, 0.016]
[0.065, -0.005, 0.016]
[0.066, -0.005, 0.017]
[0.065, -0.005, 0.017]
[0.063, -0.004, 0.016]
[0.061, -0.003, 0.014]
[0.06, -0.002, 0.011]
[0.061, -0.001, 0.008]
[0.064, 0.001, 0.005]
[0.067, 0.002, 0.003]
[0.072, 0.003, 0.001]
[0.079, 0.005, 0.0]
[0.079, 0.005, 0.0]
[0.081, 0.005, 0.001]
[0.083, 0.006, 0.002]
[0.084, 0.007, 0.002]
[0.085, 0.007, 0.003]
[0.086, 0.008, 0.004]
[0.086, 0.007, 0.006]
[0.082, 0.006, 0.011]
[0.079, 0.005, 0.019]
[0.077, 0.005, 0.028]
[0.078, 0.005, 0.036]
[0.079, 0.006, 0.042]
[0.081, 0.007, 0.048]
[0.082, 0.009, 0.055]
[0.086, 0.012, 0.064]
[0.09, 0.014, 0.074]
[0.092, 0.017, 0.084]
[0.093, 0.018, 0.095]
[0.092, 0.019, 0.103]
[0.09, 0.021, 0.109]
[0.091, 0.023, 0.114]
[0.097, 0.025, 0.119]
[0.105, 0.029, 0.122]
[0.111, 0.033, 0.125]
[0.114, 0.036, 0.127]
[0.116, 0.04, 0.13]
[0.118, 0.044, 0.133]
[0.12, 0.048, 0.137]
[0.122, 0.051, 0.14]
[0.125, 0.056, 0.145]
[0.125, 0.056, 0.145]
[0.127, 0.058, 0.147]
[0.129, 0.06, 0.149]
[0.13, 0.062, 0.152]
[0.132, 0.063, 0.154]
[0.133, 0.064, 0.155]
[0.133, 0.065, 0.156]
[0.132, 0.066, 0.157]
[0.131, 0.067, 0.156]
[0.13, 0.068, 0.156]
[0.131, 0.069, 0.154]
[0.133, 0.07, 0.151]
[0.133, 0.071, 0.148]
[0.133, 0.072, 0.144]
[0.132, 0.074, 0.138]
[0.132, 0.074, 0.138]
[0.133, 0.075, 0.135]
[0.134, 0.076, 0.133]
[0.134, 0.076, 0.132]
[0.134, 0.076, 0.131]
[0.133, 0.077, 0.13]
[0.132, 0.077, 0.13]
[0.131, 0.077, 0.13]
[0.131, 0.076, 0.131]
[0.13, 0.075, 0.131]
[0.13, 0.075, 0.131]
[0.131, 0.075, 0.131]
[0.132, 0.074, 0.131]
[0.135, 0.072, 0.135]
[0.135, 0.072, 0.135]
[0.135, 0.071, 0.138]
[0.134, 0.069, 0.141]
[0.133, 0.068, 0.146]
[0.13, 0.066, 0.151]
[0.129, 0.064, 0.158]
[0.129, 0.062, 0.167]
[0.132, 0.058, 0.177]
[0.136, 0.055, 0.186]
[0.14, 0.052, 0.195]
[0.143, 0.05, 0.204]
[0.147, 0.048, 0.212]
[0.15, 0.047, 0.221]
[0.152, 0.046, 0.229]
[0.154, 0.045, 0.235]
[0.156, 0.044, 0.24]
[0.157, 0.043, 0.243]
[0.159, 0.042, 0.244]
[0.16, 0.042, 0.243]
[0.162, 0.041, 0.24]
[0.163, 0.041, 0.236]
[0.163, 0.041, 0.228]
[0.163, 0.041, 0.228]
[0.161, 0.041, 0.225]
[0.16, 0.041, 0.222]
[0.159, 0.04, 0.218]
[0.159, 0.039, 0.215]
[0.159, 0.038, 0.211]
[0.162, 0.036, 0.206]
