face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.45,0.45,0.34,0.38,0.04499999999999987,0.04499999999999987,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.58,0.44,0.01,0.59,-0.161,0.015,-0.085
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.36,0.37,0.0,0.0,1.0,0.21,1.0,0.62,0.24,1.0,1.0,0.24,0.24,0.5,0.54,0.49,0.57,0.02,0.54,-0.121,0.019,-0.083
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.33,0.39,0.05999999999999989,0.02999999999999986,1.0,0.21,1.0,0.62,0.25,1.0,1.0,0.25,0.25,0.59,0.43,0.57,0.44,0.01,0.56,-0.08,0.007,-0.018
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.33,0.39,0.0749999999999999,0.05999999999999989,1.0,0.22,0.995,0.62,0.25,1.0,0.99,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.58,0.005,-0.003,-0.009
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.34,0.39,0.0749999999999999,0.05999999999999989,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.58,0.036,0.0,-0.005
0.56,0.56,1.0,1.0,0.98,0.98,0.9672725009918213,0.967319529056549,0.33,0.33,0.36,0.36,0.10499999999999993,0.11999999999999994,1.0,0.25,0.96,0.65,0.26,0.96,0.96,0.26,0.26,0.62,0.42,0.63,0.42,0.01,0.57,0.045,0.001,0.007
0.48,0.48,0.9,0.9,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.36,0.36,0.08999999999999991,0.08999999999999991,1.0,0.24,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.61,0.42,0.61,0.42,0.01,0.57,0.036,0.006,0.031
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.38,0.34,0.0749999999999999,0.05999999999999989,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.56,0.051,0.014,0.043
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.38,0.34,0.0749999999999999,0.05999999999999989,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.6,0.43,0.59,0.43,0.01,0.56,0.069,0.015,0.055
0.5,0.5,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.38,0.38,0.38,0.34,0.08999999999999991,0.0749999999999999,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.61,0.43,0.6,0.43,0.01,0.56,0.069,0.017,0.069
