face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.43,0.43,0.78,0.78,1.0,1.0,0.16199999999999998,0.16199999999999998,0.51,0.51,0.31,0.4,0.05999999999999989,0.02999999999999986,1.0,0.23,0.99,0.63,0.27,0.99,0.99,0.27,0.27,0.59,0.43,0.57,0.44,0.02,0.51,-0.244,0.015,-0.083
0.38,0.38,0.66,0.66,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.33,0.39,0.18,0.14999999999999997,1.0,0.25,0.97,0.65,0.27,0.97,0.97,0.27,0.27,0.67,0.4,0.65,0.41,0.04,0.56,-0.205,0.016,-0.075
0.42,0.42,0.75,0.75,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.34,0.38,0.11999999999999994,0.0749999999999999,1.0,0.23,0.99,0.64,0.26,0.99,0.99,0.26,0.26,0.63,0.42,0.6,0.43,0.02,0.53,-0.217,0.016,-0.074
0.41,0.41,0.71,0.71,1.0,1.0,0.16199999999999998,0.16199999999999998,0.45,0.45,0.34,0.38,0.10499999999999993,0.05999999999999989,1.0,0.23,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.62,0.42,0.59,0.43,0.02,0.5,-0.216,0.012,-0.049
0.42,0.42,0.74,0.74,1.0,1.0,0.16199999999999998,0.16199999999999998,0.45,0.45,0.34,0.38,0.10499999999999993,0.05999999999999989,1.0,0.23,0.985,0.63,0.27,0.98,0.99,0.27,0.27,0.62,0.42,0.59,0.43,0.02,0.49,-0.198,0.015,-0.037
0.41,0.41,0.72,0.72,1.0,1.0,0.9208239722251892,0.919880907535553,0.29,0.29,0.37,0.35,0.08999999999999991,0.10499999999999993,1.0,0.24,0.95,0.65,0.29,0.95,0.95,0.29,0.29,0.61,0.42,0.62,0.42,0.02,0.48,-0.175,0.024,-0.024
0.41,0.41,0.72,0.72,1.0,1.0,0.1870597559213638,0.18652240514755247,0.34,0.34,0.38,0.34,0.08999999999999991,0.08999999999999991,1.0,0.25,0.96,0.65,0.28,0.96,0.96,0.28,0.28,0.61,0.42,0.61,0.42,0.02,0.48,-0.159,0.035,0.001
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.4,0.31,0.0749999999999999,0.05999999999999989,1.0,0.24,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.6,0.43,0.59,0.43,0.02,0.48,-0.113,0.04,0.014
0.45,0.45,0.8,0.8,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.41,0.31,0.05999999999999989,0.04499999999999987,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.59,0.43,0.58,0.44,0.02,0.48,-0.074,0.045,0.032
0.56,0.56,1.0,1.0,0.97,0.97,0.8619018602371216,0.8601631331443786,0.21,0.21,0.4,0.32,0.04499999999999987,0.04499999999999987,1.0,0.26,0.935,0.66,0.29,0.93,0.94,0.29,0.29,0.58,0.44,0.58,0.44,0.02,0.48,-0.084,0.042,0.039
0.38,0.38,0.66,0.66,1.0,1.0,0.191068719625473,0.19052877604961393,0.34,0.34,0.4,0.31,0.0,0.0,1.0,0.25,0.965,0.65,0.27,0.96,0.97,0.27,0.27,0.51,0.53,0.5,0.55,0.02,0.48,-0.111,0.039,0.044
