face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.51,0.51,0.96,0.96,1.0,1.0,0.16199999999999998,0.16199999999999998,0.31,0.31,0.35,0.37,0.015000000000000013,0.015000000000000013,1.0,0.21,0.995,0.62,0.24,0.99,1.0,0.24,0.24,0.56,0.45,0.56,0.45,0.01,0.63,0.177,0.02,-0.045
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.33,0.33,0.36,0.36,0.015000000000000013,0.04499999999999987,1.0,0.21,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.56,0.45,0.58,0.44,0.01,0.62,0.162,0.022,-0.045
0.48,0.48,0.88,0.88,1.0,1.0,0.3010316002368927,0.29842559576034544,0.23,0.23,0.36,0.36,0.04499999999999987,0.02999999999999986,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.57,0.44,0.01,0.57,0.135,0.028,-0.048
0.48,0.48,0.89,0.89,1.0,1.0,0.16199999999999998,0.16199999999999998,0.28,0.28,0.37,0.36,0.04499999999999987,0.02999999999999986,1.0,0.22,0.985,0.63,0.25,0.98,0.99,0.25,0.25,0.58,0.43,0.57,0.44,0.01,0.55,0.133,0.019,-0.031
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.36,0.36,0.04499999999999987,0.02999999999999986,1.0,0.22,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.57,0.44,0.01,0.56,0.134,0.021,-0.018
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.37,0.35,0.02999999999999986,0.015000000000000013,1.0,0.21,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.57,0.44,0.56,0.44,0.01,0.57,0.128,0.025,-0.013
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.29,0.29,0.36,0.36,0.02999999999999986,0.015000000000000013,1.0,0.21,0.99,0.62,0.25,0.99,0.99,0.25,0.25,0.57,0.44,0.56,0.45,0.01,0.57,0.138,0.017,-0.007
0.49,0.49,0.91,0.91,1.0,1.0,0.24363009214401243,0.24278257369995115,0.2,0.2,0.35,0.37,0.04499999999999987,0.04499999999999987,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.58,0.44,0.01,0.58,0.16,0.006,-0.013
0.49,0.49,0.91,0.91,1.0,1.0,0.19928744018077849,0.19853119134902952,0.22,0.22,0.35,0.37,0.04499999999999987,0.04499999999999987,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.58,0.44,0.58,0.44,0.01,0.58,0.17,-0.005,-0.02
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.34,0.38,0.015000000000000013,0.015000000000000013,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.56,0.45,0.56,0.45,0.01,0.57,0.15,-0.014,-0.021
0.43,0.43,0.77,0.77,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.33,0.39,0.0,0.0,1.0,0.25,0.99,0.65,0.28,0.99,0.99,0.28,0.28,0.31,0.92,0.32,0.9,0.01,0.58,0.105,-0.02,-0.019
0.41,0.41,0.73,0.73,1.0,1.0,0.16199999999999998,0.16199999999999998,0.48,0.48,0.31,0.41,0.0,0.0,1.0,0.27,0.98,0.67,0.28,0.98,0.98,0.28,0.28,0.31,0.92,0.31,0.92,0.02,0.65,0.051,-0.025,-0.017
0.41,0.41,0.73,0.73,1.0,1.0,0.16199999999999998,0.16199999999999998,0.52,0.52,0.32,0.4,0.0,0.0,1.0,0.27,0.98,0.66,0.28,0.98,0.98,0.28,0.28,0.31,0.92,0.31,0.92,0.02,0.66,-0.036,-0.02,-0.017
0.56,0.56,1.0,1.0,0.97,0.97,0.9581587123870849,0.9580977368354797,0.38,0.38,0.34,0.38,0.0,0.0,1.0,0.26,0.97,0.66,0.28,0.97,0.97,0.28,0.28,0.31,0.92,0.31,0.92,0.02,0.66,-0.104,-0.021,-0.023
0.57,0.57,1.0,1.0,0.97,0.97,0.9715530681610107,0.9715537238121033,0.37,0.37,0.35,0.37,0.0,0.0,1.0,0.26,0.96,0.66,0.28,0.96,0.96,0.28,0.28,0.33,0.88,0.35,0.84,0.02,0.66,-0.166,-0.015,-0.024
0.57,0.57,1.0,1.0,0.97,0.97,0.7187959957122803,0.716476182937622,0.21,0.21,0.36,0.36,0.0,0.0,1.0,0.26,0.94,0.66,0.29,0.94,0.94,0.29,0.29,0.32,0.9,0.34,0.86,0.02,0.6,-0.264,-0.0,-0.025
0.56,0.56,1.0,1.0,0.97,0.97,0.5121238040924072,0.5106117534637451,0.25,0.24,0.36,0.35,0.0,0.0,1.0,0.26,0.94,0.65,0.29,0.94,0.94,0.29,0.29,0.36,0.82,0.38,0.79,0.02,0.59,-0.308,0.004,-0.031
0.57,0.57,1.0,1.0,0.97,0.97,0.9693574118614197,0.9693903732299805,0.35,0.35,0.38,0.34,0.0,0.0,0.75,0.26,0.92,0.66,0.29,0.92,0.92,0.29,0.29,0.5,0.55,0.52,0.51,0.02,0.58,-0.326,0.014,-0.034
0.57,0.57,1.0,1.0,0.97,0.97,0.9695272254943847,0.9695226955413818,0.37,0.37,0.39,0.33,0.0,0.0,0.75,0.26,0.915,0.66,0.29,0.92,0.91,0.29,0.29,0.48,0.59,0.5,0.54,0.02,0.56,-0.33,0.018,-0.034
0.57,0.57,1.0,1.0,0.97,0.97,0.9681907105445862,0.9681847500801086,0.36,0.36,0.39,0.33,0.0,0.0,0.75,0.26,0.91,0.66,0.29,0.91,0.91,0.29,0.29,0.53,0.49,0.55,0.45,0.02,0.56,-0.334,0.027,-0.032
0.56,0.56,1.0,1.0,0.97,0.97,0.9271787810325622,0.9270176696777344,0.33,0.33,0.38,0.34,0.2849999999999999,0.345,0.75,0.26,0.905,0.66,0.3,0.91,0.9,0.3,0.3,0.74,0.36,0.78,0.35,0.03,0.53,-0.365,0.027,-0.03
0.56,0.56,1.0,1.0,0.97,0.97,0.8962505865097046,0.8960944819450378,0.3,0.3,0.39,0.33,0.2699999999999999,0.32999999999999996,0.75,0.26,0.91,0.66,0.3,0.91,0.91,0.3,0.3,0.73,0.37,0.77,0.35,0.03,0.52,-0.366,0.03,-0.032
0.56,0.56,1.0,1.0,0.98,0.98,0.8519047904014587,0.8510153698921203,0.26,0.26,0.4,0.32,0.20999999999999985,0.2549999999999999,0.75,0.26,0.92,0.66,0.31,0.92,0.92,0.31,0.31,0.69,0.39,0.72,0.37,0.03,0.51,-0.36,0.037,-0.047
0.56,0.56,1.0,1.0,0.97,0.97,0.9543711352348327,0.9544032025337219,0.37,0.37,0.42,0.3,0.10499999999999993,0.14999999999999997,0.75,0.26,0.92,0.66,0.3,0.92,0.92,0.3,0.3,0.62,0.42,0.65,0.4,0.03,0.5,-0.359,0.042,-0.048
