face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.38,0.38,0.35,0.37,0.18,0.16499999999999998,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.67,0.4,0.66,0.4,0.01,0.61,0.082,0.001,0.024
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.35,0.37,0.18,0.16499999999999998,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.67,0.4,0.66,0.4,0.01,0.59,0.086,0.006,0.022
0.47,0.47,0.87,0.87,1.0,1.0,0.16199999999999998,0.16199999999999998,0.29,0.29,0.35,0.37,0.16499999999999998,0.16499999999999998,1.0,0.23,0.97,0.63,0.27,0.97,0.97,0.27,0.27,0.66,0.4,0.66,0.4,0.01,0.57,0.113,0.012,0.008
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.35,0.38,0.16499999999999998,0.16499999999999998,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.66,0.4,0.01,0.59,0.143,0.014,-0.009
0.5,0.5,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.35,0.37,0.16499999999999998,0.16499999999999998,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.66,0.4,0.01,0.6,0.15,0.013,-0.022
0.51,0.51,0.94,0.94,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.35,0.37,0.16499999999999998,0.14999999999999997,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.66,0.4,0.65,0.4,0.01,0.61,0.161,0.015,-0.023
0.56,0.56,1.0,1.0,0.98,0.98,0.5175936031341553,0.5164367365837097,0.16,0.16,0.37,0.35,0.18,0.18,1.0,0.23,0.965,0.63,0.28,0.96,0.97,0.28,0.28,0.67,0.4,0.67,0.4,0.01,0.61,0.17,0.012,-0.021
0.49,0.49,0.91,0.91,1.0,1.0,0.21103509843349455,0.21043513298034666,0.25,0.25,0.38,0.34,0.18,0.18,1.0,0.23,0.97,0.63,0.27,0.97,0.97,0.27,0.27,0.67,0.4,0.67,0.4,0.01,0.61,0.187,0.013,-0.017
0.47,0.47,0.86,0.86,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.46,0.27,0.16499999999999998,0.14999999999999997,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.66,0.4,0.65,0.41,0.01,0.59,0.187,0.019,0.013
0.47,0.47,0.85,0.85,1.0,1.0,0.16199999999999998,0.16199999999999998,0.35,0.35,0.47,0.25,0.16499999999999998,0.13499999999999995,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.66,0.4,0.64,0.41,0.01,0.57,0.179,0.023,0.052
