face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.45,0.45,0.81,0.81,1.0,1.0,0.31737674355506895,0.31686596155166624,0.28,0.28,0.33,0.4,0.13499999999999995,0.16499999999999998,1.0,0.23,0.98,0.63,0.27,0.98,0.98,0.27,0.27,0.64,0.41,0.66,0.4,0.01,0.58,0.008,0.009,-0.072
0.47,0.47,0.86,0.86,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.32,0.4,0.14999999999999997,0.14999999999999997,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.65,0.41,0.65,0.4,0.01,0.58,0.018,0.006,-0.075
0.46,0.46,0.83,0.83,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.33,0.39,0.14999999999999997,0.14999999999999997,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.65,0.41,0.65,0.41,0.01,0.58,0.012,0.006,-0.076
0.46,0.46,0.83,0.83,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.33,0.39,0.13499999999999995,0.13499999999999995,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.64,0.41,0.64,0.41,0.01,0.58,0.033,0.007,-0.068
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.34,0.38,0.13499999999999995,0.13499999999999995,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.64,0.41,0.01,0.58,0.028,0.012,-0.062
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.33,0.39,0.13499999999999995,0.13499999999999995,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.64,0.41,0.01,0.59,0.04,0.015,-0.062
0.46,0.46,0.83,0.83,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.34,0.38,0.13499999999999995,0.13499999999999995,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.64,0.41,0.01,0.58,0.055,0.019,-0.054
0.42,0.42,0.74,0.74,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.38,0.34,0.14999999999999997,0.14999999999999997,1.0,0.23,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.65,0.41,0.65,0.41,0.01,0.55,0.071,0.037,-0.023
0.44,0.44,0.8,0.8,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.41,0.31,0.14999999999999997,0.13499999999999995,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.65,0.41,0.64,0.41,0.01,0.54,0.088,0.043,0.002
0.45,0.45,0.81,0.81,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.42,0.3,0.14999999999999997,0.13499999999999995,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.65,0.4,0.64,0.41,0.01,0.54,0.097,0.036,0.027
0.48,0.48,0.89,0.89,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.39,0.33,0.13499999999999995,0.11999999999999994,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.63,0.41,0.01,0.55,0.123,0.023,0.035
0.49,0.49,0.91,0.91,1.0,1.0,0.2096566218137741,0.2086621034145355,0.22,0.22,0.37,0.36,0.13499999999999995,0.11999999999999994,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.63,0.42,0.01,0.56,0.167,0.01,0.016
0.49,0.49,0.91,0.91,1.0,1.0,0.16199999999999998,0.16199999999999998,0.22,0.22,0.35,0.38,0.13499999999999995,0.13499999999999995,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.64,0.41,0.01,0.56,0.239,-0.002,-0.001
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.24,0.24,0.35,0.37,0.13499999999999995,0.11999999999999994,1.0,0.22,0.98,0.63,0.25,0.98,0.98,0.25,0.25,0.64,0.41,0.63,0.41,0.01,0.57,0.29,-0.018,-0.018
0.56,0.56,1.0,1.0,0.98,0.98,0.3568353462219238,0.35627771496772764,0.16,0.16,0.36,0.37,0.16499999999999998,0.14999999999999997,1.0,0.24,0.96,0.64,0.27,0.96,0.96,0.27,0.27,0.66,0.4,0.65,0.41,0.02,0.58,0.321,-0.021,-0.013
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.27,0.27,0.36,0.36,0.195,0.18,1.0,0.25,0.94,0.65,0.35,0.94,0.94,0.35,0.35,0.68,0.39,0.67,0.4,0.05,0.54,0.298,-0.016,0.001
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.31,0.31,0.37,0.35,0.18,0.18,1.0,0.25,0.91,0.65,0.36,0.91,0.91,0.36,0.36,0.67,0.4,0.67,0.4,0.05,0.51,0.242,-0.007,0.012
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.34,0.34,0.38,0.34,0.14999999999999997,0.14999999999999997,1.0,0.25,0.94,0.65,0.31,0.94,0.94,0.31,0.31,0.65,0.4,0.65,0.4,0.04,0.48,0.191,0.007,0.018
0.66,0.66,1.0,1.0,0.9,0.9,0.16199999999999998,0.16199999999999998,0.34,0.34,0.37,0.35,0.13499999999999995,0.13499999999999995,1.0,0.35,0.87,0.72,0.5,0.87,0.87,0.5,0.5,0.64,0.41,0.64,0.41,0.15,0.47,0.157,0.022,0.017
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.28,0.28,0.36,0.36,0.05999999999999989,0.0749999999999999,1.0,0.37,0.915,0.74,0.54,0.91,0.92,0.54,0.54,0.59,0.43,0.6,0.43,0.31,0.63,0.151,0.026,0.009
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.28,0.28,0.35,0.37,0.04499999999999987,0.0749999999999999,1.0,0.37,0.92,0.74,0.54,0.92,0.92,0.54,0.54,0.58,0.44,0.6,0.43,0.33,0.66,0.163,0.025,0.001
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.26,0.26,0.35,0.37,0.04499999999999987,0.0749999999999999,1.0,0.37,0.92,0.74,0.53,0.92,0.92,0.53,0.53,0.58,0.43,0.6,0.43,0.34,0.55,0.189,0.018,-0.003
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.26,0.26,0.35,0.37,0.05999999999999989,0.0749999999999999,1.0,0.37,0.92,0.74,0.53,0.92,0.92,0.53,0.53,0.59,0.43,0.6,0.43,0.35,0.47,0.21,0.017,-0.003
